headlines.headline,sentiment,anger,fear,joy,sadness,gptsentiment,gptanger,gptjoy,gptsadness,gptfear,is_train
"For Some, It’s No Sex Before Marriage. For Them, It’s Just No Sex.",3.875,2.22222222222222,2.0,1.66666666666667,2.0,5,1,5,2,1,True
What Do We Really Mean When They Talk About Women's Bodies? What These Women Really Say.,3.25,4.0,3.4,1.7,4.2,6,1,4,1,2,True
I'm Okay With People Bragging About Their Looks … As Long As THIS Is Their Reasoning,3.0,3.5,1.6,1.5,2.3,4,2,4,1,2,True
"Does This Hospital Seem Familiar? Ladies, To You, It Probably Is.",3.5,2.7,3.2,1.5,3.0,3,2,4,1,2,True
I Know They Mean Well. But DAMN I Wish People Would Stop Saying Stuff Like This...,2.9,5.66666666666667,2.0,1.55555555555556,2.77777777777778,2,6,4,3,1,True
"If You’ve Ever Dealt With Your Cable Company, Everything About This NSFW PSA Will Ring True",3.9,2.625,2.25,2.0,1.875,4,2,4,2,2,True
The Statistics On Sexual Violence Against Men Is High Enough That We Need To Talk More,3.125,4.2,3.7,1.1,4.7,6,1,3,2,2,True
Nothing Could Have Prepared Bill Nye For This Harrowing Astrological Question,3.875,2.33333333333333,1.88888888888889,2.22222222222222,1.55555555555556,2,1,3,2,5,True
The Obvious Answer For What To Do With All Your Gooey Leftovers,4.125,1.8,1.6,1.9,1.9,6,1,6,1,1,True
"For Every Food Pic You Post Online With #MealForaMeal, Someone In Need Gets A Meal. Cool.",6.125,2.0,1.44444444444444,5.0,1.88888888888889,7,1,6,1,1,True
"Meet A Nun Who Believes In The Need For Sex, Even Though She’s Not Gettin’ Any",4.0,2.375,1.375,2.375,1.75,3,3,4,1,2,True
"Here's How The Food Industry Is Punking Us. Trust Me, I'm Not Happy About It.",2.5,6.22222222222222,2.88888888888889,1.44444444444444,3.66666666666667,2,5,2,4,4,True
"The Raw, Real Thoughts That Create Modern Human's Confusing Relationship With Their Bodies",3.9,1.77777777777778,3.11111111111111,1.66666666666667,2.22222222222222,5,1,3,2,2,True
"6 Shocking, 3 Interesting, And 2 Bizarre Facts About McDonald's",4.4,2.0,1.5,1.75,1.25,4,1,4,1,2,True
This Boys Parents Didn't Know He'd Commit A Crime As A Child — So What Are They To Do Now?,2.875,3.2,4.1,1.3,4.8,2,2,2,4,4,True
"3 Of The Coolest Women In America Today Enter An Animated Fairytale World. It Ain't Pretty, Though.",3.625,2.2,1.9,1.5,2.9,4,1,5,2,2,True
A Teen Came Out To His Mom But She Had A Surprise Of Her Own To Share,5.3,1.75,2.125,3.75,2.0,6,1,6,2,1,True
Her Compulsion Might Sound Strange To You ... Or You Might Understand It Completely,3.6,1.5,1.375,1.25,1.5,4,1,4,1,2,True
There's A Weird Thing Happening With Cell Phones — They're Feeding People Now,3.1,1.77777777777778,2.66666666666667,1.77777777777778,2.0,4,1,5,1,2,True
Everything You Know About Sugar Is About To Be Blown Away,4.8,1.625,2.375,2.125,1.75,5,1,6,1,3,True
Two Infographics And A Fake Phone Call Show You Why Comcast Treats Its Customers Like Sh*t,2.4,6.11111111111111,2.33333333333333,1.77777777777778,2.44444444444444,1,6,2,2,4,True
How Are US Companies Avoiding Billions in Taxes?,3.125,2.7,2.4,1.3,2.4,2,4,2,1,4,True
This Guy Just Served Up A Slice Of $#!% Pie To 9 People Involved In The Ray Rice Assault,2.6,3.875,2.0,2.25,2.125,1,6,2,6,6,True
It Seems To Me There Is No Larger Miscarriage Of Justice Than This Right Here,2.4,6.11111111111111,3.22222222222222,1.33333333333333,4.55555555555556,1,6,1,6,4,True
A Potentially Fatal Problem Receives An Extreme Makeover,3.6,1.88888888888889,3.22222222222222,2.77777777777778,2.0,4,1,4,1,4,True
How Much Would You Be Making If Wages Had Kept Pace With Executive Salaries Since 1990?,3.4,3.22222222222222,2.44444444444444,1.66666666666667,2.33333333333333,4,2,4,2,2,True
Some Darn Good Reasons We Should Talk About 'Male Rape',4.125,3.7,3.1,1.4,3.5,6,1,4,1,1,True
The Funnest Imaginable Way To Remind Your Mom To Get A Mammogram Is A Paula Abdul Dance Jam,4.8,1.25,1.25,3.625,1.5,6,1,6,1,1,True
"On A Scale Of 1 Month To 10 Months, How 'Fresh' Are Those Apples?",3.75,2.2,1.5,1.7,1.6,4,1,4,1,1,True
I Was Shocked When I Saw This Sentence And Sad When I Comprehended It,3.6,1.75,1.625,1.75,3.75,2,2,2,6,4,True
"If $23 Dollars An Hour Sounds Like A Lotta Dough, Check This Out",5.5,1.375,1.375,3.625,1.25,6,1,5,1,1,True
Science Explains Why Rich People Don't Care About You,3.125,4.77777777777778,2.66666666666667,1.33333333333333,3.88888888888889,2,4,2,2,4,True
Some LOL And A Whole Lot Of Truth About All Of Those Stupid Holiday Jokes,4.3,3.1,2.1,3.0,1.9,4,2,5,1,1,True
A political party in the U.K. tried to appeal to women by driving a pink bus around. Whoops!,2.75,3.6,1.6,2.3,3.2,3,2,3,1,1,True
Do You Think That These Humans Were Created Equal After Seeing These Photos?,2.75,4.0,3.33333333333333,1.44444444444444,3.77777777777778,3,2,2,1,2,True
3 Of America's Funniest Comedians Get Animated. What They Say? It's *Bold.*,4.3,2.125,1.5,3.125,1.875,6,1,6,1,1,True
"Ladies, Like Choice? Don't End Up In This Hospital.",2.7,4.44444444444444,3.77777777777778,1.33333333333333,2.11111111111111,2,4,2,2,5,True
This Is One Of The Best Things I've Ever Found On The Internet. Period.,5.75,1.33333333333333,1.33333333333333,5.11111111111111,1.22222222222222,7,1,7,1,1,True
500 Young Folks Met Together To Get Riled Up. Now It's Your Turn.,4.5,2.0,1.57142857142857,2.5,1.75,6,2,6,1,2,True
Hmmm … Prisons Run As For-Profit Operations? Seems Like Nothing Can Go Wrong. SMH.,2.4,5.55555555555556,2.88888888888889,1.55555555555556,4.0,2,4,2,4,5,True
The Feds Will Not Be Cutting Your Social Security. They'll Just Be Decreasing Your Benefits By 10%.,2.9,5.77777777777778,4.0,1.77777777777778,3.33333333333333,2,3,2,5,5,True
Bill Nye On Why Your Horoscope Actually Belongs To Someone Else,3.625,2.11111111111111,2.55555555555556,2.22222222222222,2.33333333333333,3,2,3,1,2,True
Look Somewhere Else For Intolerance 'Cause You're Not Going To Find It In This Small Town,4.25,3.44444444444444,2.11111111111111,2.11111111111111,1.77777777777778,7,1,6,1,1,True
She Was Offering Her Breast To More Than One Pair Of Eager Lips. It Made Her Feel Some Things.,4.0,2.0,2.44444444444444,2.22222222222222,2.44444444444444,3,2,2,0,2,True
If You Don’t Say Holy Crap At Least Once I’ve Failed,4.2,1.77777777777778,2.11111111111111,2.55555555555556,2.11111111111111,4,1,4,1,1,True
One Cubic Yard Of 'Black Gold' Is Worth $562. What's That?,4.625,1.88888888888889,1.44444444444444,2.55555555555556,1.55555555555556,6,1,4,1,1,True
The Reason You Hate Comcast Is Summed Up Quite Nicely By A Man Who's Feeding Ducks,4.125,2.0,2.11111111111111,3.44444444444444,2.22222222222222,3,2,4,1,2,True
"If You Have Ever Called Your Cable Company And Broke Your Phone Out Of Rage, You'll Totally Get It",3.9,5.88888888888889,2.11111111111111,1.77777777777778,2.33333333333333,4,4,5,1,2,True
How Many Asteroids Are Headed For Earth At This Exact Moment?,3.125,1.2,3.2,1.9,2.7,2,1,3,1,4,True
What Girls Learn From Us When We Look In The Mirror,3.6,2.55555555555556,2.55555555555556,1.66666666666667,2.22222222222222,5,1,5,1,1,True
"Wonder If That War Photographer Who Films Close Up Ever Gets Hurt? Yep, And In More Ways Than One.",3.5,2.3,4.3,1.9,3.6,2,6,4,4,5,True
Why We’ll Never Get Rid Of Food Stamps If We Stick With This System,2.875,4.66666666666667,2.88888888888889,1.55555555555556,3.44444444444444,2,3,2,2,4,True
"Mirror, Mirror, On The Wall, Stop Me If I Complain About This At All",3.1,3.22222222222222,2.88888888888889,2.0,2.55555555555556,4,2,5,1,1,True
The One Where The Government Decides To Cook Your Books For You,3.375,2.9,2.4,1.6,2.9,1,4,1,1,4,True
"When She Meets With Her Guidance Counselor, A Devastating Reality Hits Her In The Face",3.1,3.66666666666667,4.22222222222222,1.55555555555556,5.22222222222222,2,2,2,6,6,True
A Few People Explain Why Celibacy Is Not As Weird And Unnatural As Some Think,4.625,1.4,1.8,1.7,2.1,6,1,4,1,1,True
"5 People Who Say That Living A Sexless Life Is A Totally Cool Life, And They Actually Mean It",4.4,2.0,1.55555555555556,2.77777777777778,1.66666666666667,4,1,3,1,1,True
39% of the water in China's major rivers is not fit for human contact ... and other startling facts.,2.5,3.44444444444444,5.0,1.0,4.55555555555556,2,2,2,4,6,True
Your Assumptions About Sugary Foods Are About To Be Blown Away,4.5,2.44444444444444,2.88888888888889,2.88888888888889,2.44444444444444,6,1,6,1,2,True
Why Democracy Loves Social Media,4.125,2.6,1.9,1.8,2.1,6,1,5,1,1,True
This Sports Commentator Just Called Out 9 Cowardly People Involved In The Ray Rice Assault,3.7,5.11111111111111,2.66666666666667,2.0,1.66666666666667,2,5,4,2,4,True
"When They Left, Her Parents Thought She'd Grow Up Without Fear. They Were Wrong.",2.75,3.2,3.7,1.4,4.5,2,4,2,6,6,True
A Hilarious Look At Why Those Kwanzaa Jokes Aren't So Hilarious,3.25,2.8,1.6,3.0,2.8,4,1,5,1,1,True
"It's Dirty, It's Rich, And You Can Totally Make It Yourself — Here's How",4.5,1.75,1.375,3.5,1.375,6,1,6,1,1,True
"We Don't Like Talking About Mental Health, But Here's How It's A Life And Death Matter",3.5,3.33333333333333,4.25,1.33333333333333,3.77777777777778,5,1,3,5,5,True
A Light Bulb Moment On How Education Might Be Sadly Hurting The Minds Of Children,3.0,2.6,4.8,1.2,5.11111111111111,2,2,2,5,3,True
Some Facts About Rape And How We Don't Talk About Enough,2.875,4.5,3.9,1.1,4.9,5,1,2,2,2,True
"Major U.S. Brands Are Leaving Our Shores To Exploit A Tax Loophole, And They're Profiting For It",2.9,3.5,2.375,1.375,2.875,4,4,2,2,2,True
Meet The Girl Who's Left To Deal With Decades Of Built-Up Hostility And Prejudice,3.6,3.625,2.125,1.125,3.375,2,3,2,6,4,True
Watch A Nice Man Calmly And Gently Tell You To Go F*ck Yourself For Very Understandable Reasons,2.7,4.25,2.25,1.25,1.875,2,6,2,0,4,True
This Professor Says We Spend 40% Of Our Lives Doing Something That Could Hurt Us For A Good Reason,3.5,2.3,3.4,2.0,2.8,5,1,4,2,2,True
See How Thousands Of Lives Could Be Saved With A Paradigm Shift,5.625,2.0,2.0,3.55555555555556,2.11111111111111,6,1,6,1,1,True
How Many Earth-Destroying Asteroids Are Headed Towards Us At This Exact Moment?,2.5,2.33333333333333,5.77777777777778,1.22222222222222,3.11111111111111,1,4,1,2,6,True
This Massive Nerve In Your Body Flips Out When You See Others In Pain (Unless You're Rich),3.75,4.0,2.88888888888889,1.44444444444444,2.88888888888889,2,4,3,3,4,True
Imagine The 1 Job You Love Is Also Tearing You Up Inside. Meet A Woman Who Has That Job.,3.4,2.88888888888889,3.66666666666667,1.77777777777778,3.33333333333333,4,1,5,6,2,True
They Thought $8 Would Shut Her Up. Because $8 Is SO Much Money?,2.375,5.33333333333333,2.55555555555556,1.22222222222222,3.11111111111111,2,6,5,1,2,True
You Take A Picture Of Your Food And Tag It With #MealForaMeal. What Happens Next Is Less Hunger.,6.0,2.0,1.88888888888889,4.88888888888889,2.55555555555556,7,1,6,1,1,True
"How These People Overthrew A Murderous Dictator With A Phone, A Camera, And A News Feed.",4.6,2.25,3.0,3.125,2.5,7,1,6,1,1,True
This Sports Commentator Just Rained $#!% Down On 9 People Involved In The Ray Rice Assault,2.5,5.22222222222222,3.66666666666667,1.88888888888889,3.11111111111111,2,6,2,4,4,True
"John Oliver brutally mocks political ads for women, and it's hilarious.",3.1,2.375,1.625,3.875,1.5,6,1,6,1,1,True
"Repeat After Me: 'I Am Not A Gross Sludge-monster. And If I Am, That's Okay, Too.'",4.0,2.22222222222222,1.77777777777778,3.88888888888889,3.11111111111111,5,2,6,1,2,True
Enough Already With The Kwanzaa Jokes. Let Jessica Williams Explain (And Make You Laugh).,4.0,2.66666666666667,1.77777777777778,4.0,1.77777777777778,6,3,6,1,1,True
Why Both Parties Should Agree To Buy A Few More Telescopes,4.5,2.0,1.6,1.9,1.5,5,1,5,1,1,True
Some People Date To Have Sex ... Some Just Want Hugs,3.75,2.2,1.5,1.8,3.1,3,1,4,2,1,True
When Giant Companies Get Gianter You're Stuck With Real Phone Calls That Sound Just Like His Fake 1,3.0,3.2,2.4,1.5,2.2,2,4,1,1,3,True
"We're Pretty Good At Ignoring These Problems, But By Putting Them Together Maybe We'll Pay Attention",4.25,2.5,3.0,2.0,3.1,4,1,2,1,1,True
John Oliver made a fake campaign ad that 1 giant political party could really learn from.,4.1,2.375,1.625,2.125,1.25,6,1,6,1,1,True
A Mom Waited Until The Perfect Moment To Talk With Her Son About Her Sexuality,5.2,1.625,2.0,3.125,1.625,6,1,5,1,1,True
"When You Turn Prison Into An Industry That Needs Bodies, Things Go … Screwy",2.5,3.0,2.625,1.875,3.375,2,4,3,2,4,True
Ever Felt Like Your Breasts Belonged To Everyone In Your Family But You? You Might Relate To This.,2.75,2.3,2.3,1.9,3.0,3,4,4,4,2,False
Some Darn Good Reasons Why We Should Never Use The Words 'Male Rape',3.2,5.0,3.11111111111111,1.44444444444444,3.22222222222222,4,2,4,1,3,False
A Slew Of Young Leaders Went To Turkey To Get Riled Up. Now It's Your Turn.,3.125,2.7,2.0,2.8,1.7,6,1,6,1,2,False
"Take Prisons, Turn Them Into Private Companies, Add Tons Of Cash, And Stir. Not A Pleasant Mix ... ",2.7,4.7,3.9,1.5,3.5,2,4,2,2,4,False
"A Teacher Tells A Story About A Boy In Her Class. It Has A Beginning, A Middle, And No End.",3.875,2.88888888888889,2.11111111111111,2.22222222222222,3.55555555555556,5,1,4,3,1,False
"Hotels Love To Keep Their Beds Full, Because It Means More Revenue. What About Private Prisons? ",3.125,4.33333333333333,3.22222222222222,1.77777777777778,3.33333333333333,3,2,2,2,2,False
Think People Judge You Based On How You Look? Wait Until You Hear What They Really Mean.,3.3,2.75,1.875,1.5,2.625,3,3,5,2,5,False
"6 Shocking, 3 Interesting, And 1 Bizarre Fact About McDonald's",3.5,2.77777777777778,4.33333333333333,1.77777777777778,2.22222222222222,4,1,3,1,1,False
"What Is Up With This 'Right-To-Work' Stuff, Anyway?",3.2,3.25,1.25,1.375,1.75,3,3,3,1,1,False
"This Dude Is Pissed.  And Unfortunately, We Can All Recognize The Reason Why.",2.75,3.8,2.5,1.1,3.0,2,6,2,2,2,False
Since When Does Being Popular Mean Having To Put Up With This Kinda Bullying,2.75,6.0,4.0,1.2,4.8,2,5,4,4,2,False
The Music That People Heard Each Of The 22 Times The Minimum Wage Has Been Adjusted,4.125,2.5,1.9,2.2,2.5,4,1,4,1,1,False
"There's 30,000 permanent guests living in this famous musician's yard, but he's happy they're there.",4.75,2.0,1.77777777777778,3.33333333333333,2.33333333333333,6,1,6,1,1,False
"They've Been So Slow To Raise The Minimum Wage, They’ve Actually Been Lowering It",3.0,5.22222222222222,2.88888888888889,1.33333333333333,3.33333333333333,1,6,2,6,5,False
"They Thought $8 Would Shut Her Up, But She’s Determined To Do Better For Her Kids",4.625,4.4,2.1,1.8,4.0,6,1,6,2,1,False
10 Images And One Great Point About How Education Might Be Hurting The Minds Of Children,2.625,4.0,4.0,2.22222222222222,4.22222222222222,2,2,2,1,3,False
Bill Nye Describes Why You Shouldn't Bet Your Life Savings On Your Horoscope,3.5,2.0,3.0,2.22222222222222,2.11111111111111,3,1,2,1,2,False
"Moby might be named after a sea animal, but he has a point about these land animals. They're dying,",2.8,3.77777777777778,3.88888888888889,1.625,4.88888888888889,5,1,4,4,2,False
A Small Town In Kentucky Has A Gay Hairdresser Mayor. True Story.,4.625,1.4,1.3,2.7,1.2,6,1,6,1,1,False
"A PSA About Cancer That'll Probably Make You Say 'I Could Go For A New Paula Abdul Album, Sure'",3.7,2.22222222222222,2.44444444444444,2.22222222222222,2.875,3,1,5,1,1,False
A Shocking And Hilarious (Fake) Ad Reminds Us Why We Hate Dealing With Our Cable Company,3.3,2.66666666666667,1.66666666666667,3.44444444444444,1.88888888888889,4,2,5,1,1,False
We're Told That All Humans Are Created Equal. Do You See That In These Photos?,2.75,4.66666666666667,3.88888888888889,1.22222222222222,4.33333333333333,4,4,4,1,3,False
"Coming Out Can Be Hard, But It's Less Hard When Your Mom Responds Like This Kid's Did",4.4,2.125,2.0,3.75,2.625,6,1,6,2,1,False
McDonalds' CEO Would Love To Buy This Girl A Happy Meal. She Gives Them Food For Thought Instead.,5.1,1.625,1.25,2.625,1.125,6,1,6,1,1,False
Time To Open Up A Can Of 'I'm Not Racist But...',2.625,3.4,3.1,1.6,3.5,2,5,2,2,3,False
One Of The Biggest Roadblocks To American Innovation Might Surprise You,4.5,2.25,1.5,2.5,1.75,4,1,4,1,2,False
500 Young Folks Went To Turkey To Get Riled Up. Now It's Your Turn.,4.0,1.75,1.375,2.5,1.375,4,2,6,1,4,False
"At First Glance, They're An Odd Couple. But Listening To Them For Just 5 Seconds Changes That.",4.4,1.55555555555556,1.55555555555556,4.55555555555556,2.11111111111111,6,1,6,1,1,False
Ahhhh! Can Corporations REALLY Patent Human Genes!?,3.9,3.125,4.0,1.875,2.25,2,6,5,1,6,False
This Boy Committed A Crime When He Was A Teenager. But Is It Right To Imprison Him?,3.4,2.625,2.25,1.375,3.625,3,2,2,3,2,False
"A Major Obstacle To Global Badassery, Explained (In 60 Seconds)",4.2,1.625,1.375,2.125,1.625,5,1,6,1,1,False
The Reason This Guy Is So Pissed Is The Same Reason Intelligent Conversation Is Hard To Find,3.25,4.1,2.2,1.5,2.6,2,5,2,2,2,False
A Bunch Of Celebrities Made This Adorable (And Serious?) Video That Everyone's Talking About,4.5,1.625,1.375,3.375,1.75,6,1,6,1,1,False
What If You Needed A Special Dictionary To Go Grocery Shopping? Sike! You Already Do.,3.7,2.33333333333333,1.55555555555556,3.0,1.88888888888889,4,2,6,1,2,False
"If You Laugh, You Get It. If You're Offended, You're Part Of The Problem.",3.4,4.22222222222222,2.22222222222222,2.44444444444444,1.77777777777778,4,3,6,1,2,False
The One Where The Government Offers To Metaphorically Shank Your Grandma,2.6,4.77777777777778,3.66666666666667,1.44444444444444,2.0,1,6,1,4,6,False
"He was alone when they swarmed around him. But unlike a biblical plague, we need plenty more of them.",4.375,2.66666666666667,3.66666666666667,1.88888888888889,3.55555555555556,6,2,5,1,1,False
There Really Is A War On This Sacred Holiday In America - And It's Time To Fight Back.,3.6,5.66666666666667,4.44444444444444,1.55555555555556,3.0,3,6,5,1,6,False
A Teacher Tells A Story About A Boy In Her Class. It Desperately Needs A Happy Ending.,2.7,2.5,1.875,2.0,3.0,6,1,6,6,2,False
These Guys Don’t Take Crap From Nobody. They Take It From EVERYBODY!,3.375,4.8,2.9,1.2,2.5,2,6,5,1,2,False
Watch A 9-Year-Old Make Ronald McDonald Look Even More Like A Clown.,3.8,2.625,2.25,2.625,1.375,4,2,6,1,1,False
