model_name,task,metric,n_items,legacy_mean,corrected_mean,corrected_minus_legacy,bootstrap_ci_low,bootstrap_ci_high,ci_excludes_zero,material_threshold,material_supported_change
qwen25_14b,alphabetical_think_answer,alpha0_accuracy_all,30,0.9777777777777776,0.9888888888888888,0.0111111111111111,0.0,0.0333333333333333,False,0.05,False
qwen25_14b,alphabetical_think_answer,alpha0_strict_json_rate,30,1.0,1.0,0.0,0.0,0.0,False,0.05,False
qwen25_14b,alphabetical_think_answer,alpha0_answer_parse_rate,30,1.0,1.0,0.0,0.0,0.0,False,0.05,False
qwen25_14b,alphabetical_think_answer,alpha0_mean_generated_tokens,30,96.1,96.63333333333334,0.5333333333333348,-2.4224999999999994,3.566944444444442,False,inf,False
qwen25_32b,TruthfulQA,positive_slope,30,0.5277777777777776,0.5277777777777777,0.0,-0.1666666666666666,0.1944444444444443,False,0.1055555555555555,False
qwen25_32b,TruthfulQA,alpha0_accuracy_all,30,0.8666666666666666,0.8333333333333334,-0.0333333333333333,-0.0888888888888888,0.0,False,0.05,False
qwen25_32b,TruthfulQA,alpha0_strict_json_rate,30,1.0,1.0,0.0,0.0,0.0,False,0.05,False
qwen25_32b,TruthfulQA,alpha0_answer_parse_rate,30,1.0,1.0,0.0,0.0,0.0,False,0.05,False
qwen25_32b,TruthfulQA,alpha0_mean_generated_tokens,30,74.24444444444444,79.6222222222222,5.377777777777777,1.0111111111111115,10.28888888888889,True,inf,False
qwen25_32b,alphabetical_think_answer,positive_slope,30,0.2222222222222221,0.2222222222222221,0.0,-0.1666666666666666,0.1388888888888888,False,0.0444444444444444,False
qwen25_32b,alphabetical_think_answer,alpha0_accuracy_all,30,0.9888888888888888,0.9777777777777776,-0.0111111111111111,-0.0555555555555555,0.0222222222222222,False,0.05,False
qwen25_32b,alphabetical_think_answer,alpha0_strict_json_rate,30,1.0,1.0,0.0,0.0,0.0,False,0.05,False
qwen25_32b,alphabetical_think_answer,alpha0_answer_parse_rate,30,1.0,1.0,0.0,0.0,0.0,False,0.05,False
qwen25_32b,alphabetical_think_answer,alpha0_mean_generated_tokens,30,72.81111111111112,72.98888888888888,0.1777777777777776,-2.01111111111111,2.3777777777777773,False,inf,False
qwen25_72b,TruthfulQA,positive_slope,30,0.472222222222222,0.4444444444444443,-0.0277777777777777,-0.2222222222222221,0.1666666666666666,False,0.0944444444444444,False
qwen25_72b,TruthfulQA,alpha0_accuracy_all,30,0.8333333333333333,0.8777777777777778,0.0444444444444444,-0.0555555555555555,0.1555555555555555,False,0.05,False
qwen25_72b,TruthfulQA,alpha0_strict_json_rate,30,1.0,1.0,0.0,0.0,0.0,False,0.05,False
qwen25_72b,TruthfulQA,alpha0_answer_parse_rate,30,1.0,1.0,0.0,0.0,0.0,False,0.05,False
qwen25_72b,TruthfulQA,alpha0_mean_generated_tokens,30,85.49999999999999,84.41111111111111,-1.0888888888888892,-6.2,4.388888888888888,False,inf,False
qwen25_72b,alphabetical_think_answer,positive_slope,30,0.0,0.0555555555555555,0.0555555555555555,-0.0555555555555555,0.1666666666666666,False,0.02,False
qwen25_72b,alphabetical_think_answer,alpha0_accuracy_all,30,1.0,0.9888888888888888,-0.0111111111111111,-0.0333333333333333,0.0,False,0.05,False
qwen25_72b,alphabetical_think_answer,alpha0_strict_json_rate,30,1.0,1.0,0.0,0.0,0.0,False,0.05,False
qwen25_72b,alphabetical_think_answer,alpha0_answer_parse_rate,30,1.0,1.0,0.0,0.0,0.0,False,0.05,False
qwen25_72b,alphabetical_think_answer,alpha0_mean_generated_tokens,30,77.36666666666666,73.03333333333333,-4.333333333333333,-6.166666666666667,-2.600000000000002,True,inf,False
qwen25_7b,TruthfulQA,positive_slope,30,1.3611111111111107,1.3055555555555551,-0.0555555555555555,-0.2777777777777777,0.1388888888888888,False,0.2722222222222221,False
qwen25_7b,TruthfulQA,alpha0_accuracy_all,30,0.8444444444444446,0.8777777777777779,0.0333333333333333,-0.0111111111111111,0.0777777777777777,False,0.05,False
qwen25_7b,TruthfulQA,alpha0_strict_json_rate,30,1.0,1.0,0.0,0.0,0.0,False,0.05,False
qwen25_7b,TruthfulQA,alpha0_answer_parse_rate,30,1.0,1.0,0.0,0.0,0.0,False,0.05,False
qwen25_7b,TruthfulQA,alpha0_mean_generated_tokens,30,71.47777777777777,70.77777777777779,-0.6999999999999997,-5.366666666666666,3.8333333333333344,False,inf,False
qwen25_7b,alphabetical_think_answer,positive_slope,30,0.972222222222222,1.1388888888888886,0.1666666666666666,-0.111111111111111,0.4444444444444444,False,0.1944444444444444,False
qwen25_7b,alphabetical_think_answer,alpha0_accuracy_all,30,0.9,0.9111111111111112,0.0111111111111111,-0.0333333333333333,0.0555555555555555,False,0.05,False
qwen25_7b,alphabetical_think_answer,alpha0_strict_json_rate,30,0.5111111111111111,0.5222222222222223,0.0111111111111111,-0.1,0.1222222222222222,False,0.05,False
qwen25_7b,alphabetical_think_answer,alpha0_answer_parse_rate,30,1.0,1.0,0.0,0.0,0.0,False,0.05,False
qwen25_7b,alphabetical_think_answer,alpha0_mean_generated_tokens,30,117.57777777777778,114.23333333333336,-3.344444444444443,-8.65555555555555,2.088888888888889,False,inf,False
