model_name,experiment,i,alpha,alpha_norm,alignment_pressure,correct,response_type
qwen25_3b,alphabetical_think_answer,30,-17.9,-1.0,-1.0,0,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,32,-17.9,-1.0,1.0,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,34,-17.9,-1.0,-1.0,0,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,37,-17.9,-1.0,1.0,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,33,-17.9,-1.0,-1.0,0,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,36,-17.9,-1.0,-1.0,0,Sound Reasoning
qwen25_3b,alphabetical_think_answer,26,-17.9,-1.0,-1.0,0,Sound Reasoning
qwen25_3b,alphabetical_think_answer,35,-17.9,-1.0,1.0,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,23,-17.9,-1.0,1.0,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,45,-17.9,-1.0,1.0,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,38,-17.9,-1.0,-1.0,0,Incoherent Hallucination
qwen25_3b,alphabetical_think_answer,41,-17.9,-1.0,1.0,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,42,-17.9,-1.0,-1.0,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,40,-17.9,-1.0,-1.0,0,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,44,-17.9,-1.0,-1.0,0,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,47,-17.9,-1.0,1.0,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,39,-17.9,-1.0,1.0,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,43,-17.9,-1.0,1.0,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,50,-17.9,-1.0,-1.0,0,Sound Reasoning
qwen25_3b,alphabetical_think_answer,49,-17.9,-1.0,1.0,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,48,-17.9,-1.0,-1.0,0,Sound Reasoning
qwen25_3b,alphabetical_think_answer,60,-14.32,-0.8,-0.8,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,53,-17.9,-1.0,1.0,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,57,-17.9,-1.0,1.0,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,51,-17.9,-1.0,1.0,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,55,-17.9,-1.0,1.0,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,52,-17.9,-1.0,-1.0,0,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,58,-17.9,-1.0,-1.0,0,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,59,-17.9,-1.0,1.0,1,Ambiguous/Mixed
qwen25_3b,alphabetical_think_answer,46,-17.9,-1.0,-1.0,0,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,56,-17.9,-1.0,-1.0,0,Incoherent Hallucination
qwen25_3b,alphabetical_think_answer,61,-14.32,-0.8,0.8,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,62,-14.32,-0.8,-0.8,0,Sound Reasoning
qwen25_3b,alphabetical_think_answer,64,-14.32,-0.8,-0.8,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,63,-14.32,-0.8,0.8,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,67,-14.32,-0.8,0.8,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,65,-14.32,-0.8,0.8,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,54,-17.9,-1.0,-1.0,0,Sound Reasoning
qwen25_3b,alphabetical_think_answer,75,-14.32,-0.8,0.8,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,80,-14.32,-0.8,-0.8,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,68,-14.32,-0.8,-0.8,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,69,-14.32,-0.8,0.8,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,72,-14.32,-0.8,-0.8,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,76,-14.32,-0.8,-0.8,0,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,66,-14.32,-0.8,-0.8,0,Incoherent Hallucination
qwen25_3b,alphabetical_think_answer,71,-14.32,-0.8,0.8,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,70,-14.32,-0.8,-0.8,0,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,78,-14.32,-0.8,-0.8,0,Sound Reasoning
qwen25_3b,alphabetical_think_answer,74,-14.32,-0.8,-0.8,0,Sound Reasoning
qwen25_3b,alphabetical_think_answer,79,-14.32,-0.8,0.8,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,82,-14.32,-0.8,-0.8,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,85,-14.32,-0.8,0.8,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,81,-14.32,-0.8,0.8,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,73,-14.32,-0.8,0.8,1,Ambiguous/Mixed
qwen25_3b,alphabetical_think_answer,83,-14.32,-0.8,0.8,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,84,-14.32,-0.8,-0.8,0,Incoherent Hallucination
qwen25_3b,alphabetical_think_answer,77,-14.32,-0.8,0.8,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,90,-14.32,-0.8,-0.8,0,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,91,-14.32,-0.8,0.8,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,86,-14.32,-0.8,-0.8,0,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,100,-14.32,-0.8,-0.8,0,Sound Reasoning
qwen25_3b,alphabetical_think_answer,99,-14.32,-0.8,0.8,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,94,-14.32,-0.8,-0.8,0,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,88,-14.32,-0.8,-0.8,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,89,-14.32,-0.8,0.8,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,93,-14.32,-0.8,-0.8,0,Sound Reasoning
qwen25_3b,alphabetical_think_answer,97,-14.32,-0.8,0.8,1,Incoherent Hallucination
qwen25_3b,alphabetical_think_answer,95,-14.32,-0.8,0.8,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,87,-14.32,-0.8,0.8,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,96,-14.32,-0.8,-0.8,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,103,-14.32,-0.8,0.8,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,98,-14.32,-0.8,-0.8,0,Sound Reasoning
qwen25_3b,alphabetical_think_answer,104,-14.32,-0.8,-0.8,0,Sound Reasoning
qwen25_3b,alphabetical_think_answer,92,-14.32,-0.8,0.8,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,101,-14.32,-0.8,0.8,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,106,-14.32,-0.8,-0.8,0,Incoherent Hallucination
qwen25_3b,alphabetical_think_answer,117,-14.32,-0.8,0.8,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,105,-14.32,-0.8,0.8,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,108,-14.32,-0.8,-0.8,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,113,-14.32,-0.8,0.8,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,111,-14.32,-0.8,0.8,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,109,-14.32,-0.8,0.8,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,102,-14.32,-0.8,-0.8,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,115,-14.32,-0.8,0.8,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,118,-14.32,-0.8,-0.8,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,107,-14.32,-0.8,0.8,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,110,-14.32,-0.8,-0.8,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,116,-14.32,-0.8,-0.8,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,112,-14.32,-0.8,-0.8,0,Sound Reasoning
qwen25_3b,alphabetical_think_answer,114,-14.32,-0.8,-0.8,0,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,121,-10.74,-0.6,0.6,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,123,-10.74,-0.6,0.6,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,119,-14.32,-0.8,0.8,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,122,-10.74,-0.6,-0.6,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,120,-10.74,-0.6,-0.6,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,129,-10.74,-0.6,0.6,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,130,-10.74,-0.6,-0.6,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,128,-10.74,-0.6,-0.6,0,Incoherent Hallucination
qwen25_3b,alphabetical_think_answer,127,-10.74,-0.6,0.6,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,125,-10.74,-0.6,0.6,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,124,-10.74,-0.6,-0.6,0,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,138,-10.74,-0.6,-0.6,0,Sound Reasoning
qwen25_3b,alphabetical_think_answer,133,-10.74,-0.6,0.6,1,Incoherent Hallucination
qwen25_3b,alphabetical_think_answer,132,-10.74,-0.6,-0.6,0,Sound Reasoning
qwen25_3b,alphabetical_think_answer,135,-10.74,-0.6,0.6,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,139,-10.74,-0.6,0.6,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,137,-10.74,-0.6,0.6,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,140,-10.74,-0.6,-0.6,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,134,-10.74,-0.6,-0.6,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,126,-10.74,-0.6,-0.6,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,143,-10.74,-0.6,0.6,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,131,-10.74,-0.6,0.6,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,141,-10.74,-0.6,0.6,1,Incoherent Hallucination
qwen25_3b,alphabetical_think_answer,142,-10.74,-0.6,-0.6,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,136,-10.74,-0.6,-0.6,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,145,-10.74,-0.6,0.6,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,147,-10.74,-0.6,0.6,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,146,-10.74,-0.6,-0.6,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,148,-10.74,-0.6,-0.6,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,151,-10.74,-0.6,0.6,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,149,-10.74,-0.6,0.6,1,Incoherent Hallucination
qwen25_3b,alphabetical_think_answer,144,-10.74,-0.6,-0.6,0,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,159,-10.74,-0.6,0.6,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,154,-10.74,-0.6,-0.6,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,158,-10.74,-0.6,-0.6,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,155,-10.74,-0.6,0.6,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,156,-10.74,-0.6,-0.6,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,150,-10.74,-0.6,-0.6,0,Incoherent Hallucination
qwen25_3b,alphabetical_think_answer,164,-10.74,-0.6,-0.6,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,162,-10.74,-0.6,-0.6,0,Sound Reasoning
qwen25_3b,alphabetical_think_answer,161,-10.74,-0.6,0.6,1,Incoherent Hallucination
qwen25_3b,alphabetical_think_answer,153,-10.74,-0.6,-0.6,0,Sound Reasoning
qwen25_3b,alphabetical_think_answer,160,-10.74,-0.6,-0.6,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,167,-10.74,-0.6,0.6,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,165,-10.74,-0.6,0.6,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,152,-10.74,-0.6,0.6,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,157,-10.74,-0.6,0.6,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,163,-10.74,-0.6,0.6,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,166,-10.74,-0.6,-0.6,0,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,168,-10.74,-0.6,-0.6,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,171,-10.74,-0.6,0.6,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,181,-7.16,-0.4,0.4,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,177,-10.74,-0.6,0.6,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,169,-10.74,-0.6,0.6,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,180,-7.16,-0.4,-0.4,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,179,-10.74,-0.6,0.6,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,178,-10.74,-0.6,-0.6,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,174,-10.74,-0.6,-0.6,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,182,-7.16,-0.4,-0.4,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,176,-10.74,-0.6,-0.6,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,175,-10.74,-0.6,0.6,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,170,-10.74,-0.6,-0.6,0,Sound Reasoning
qwen25_3b,alphabetical_think_answer,185,-7.16,-0.4,0.4,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,183,-7.16,-0.4,0.4,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,184,-7.16,-0.4,-0.4,0,Sound Reasoning
qwen25_3b,alphabetical_think_answer,186,-7.16,-0.4,-0.4,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,172,-10.74,-0.6,-0.6,0,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,187,-7.16,-0.4,0.4,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,190,-7.16,-0.4,-0.4,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,173,-10.74,-0.6,0.6,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,189,-7.16,-0.4,0.4,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,192,-7.16,-0.4,-0.4,0,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,193,-7.16,-0.4,0.4,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,188,-7.16,-0.4,-0.4,0,Incoherent Hallucination
qwen25_3b,alphabetical_think_answer,195,-7.16,-0.4,0.4,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,201,-7.16,-0.4,0.4,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,191,-7.16,-0.4,0.4,1,Incoherent Hallucination
qwen25_3b,alphabetical_think_answer,196,-7.16,-0.4,-0.4,0,Sound Reasoning
qwen25_3b,alphabetical_think_answer,202,-7.16,-0.4,-0.4,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,199,-7.16,-0.4,0.4,1,Incoherent Hallucination
qwen25_3b,alphabetical_think_answer,198,-7.16,-0.4,-0.4,0,Sound Reasoning
qwen25_3b,alphabetical_think_answer,197,-7.16,-0.4,0.4,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,203,-7.16,-0.4,0.4,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,205,-7.16,-0.4,0.4,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,200,-7.16,-0.4,-0.4,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,207,-7.16,-0.4,0.4,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,210,-7.16,-0.4,-0.4,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,208,-7.16,-0.4,-0.4,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,206,-7.16,-0.4,-0.4,0,Sound Reasoning
qwen25_3b,alphabetical_think_answer,204,-7.16,-0.4,-0.4,0,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,213,-7.16,-0.4,-0.4,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,209,-7.16,-0.4,0.4,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,211,-7.16,-0.4,0.4,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,194,-7.16,-0.4,-0.4,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,215,-7.16,-0.4,0.4,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,214,-7.16,-0.4,-0.4,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,212,-7.16,-0.4,0.4,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,217,-7.16,-0.4,0.4,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,218,-7.16,-0.4,-0.4,0,Incoherent Hallucination
qwen25_3b,alphabetical_think_answer,219,-7.16,-0.4,0.4,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,216,-7.16,-0.4,-0.4,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,220,-7.16,-0.4,-0.4,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,222,-7.16,-0.4,-0.4,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,221,-7.16,-0.4,0.4,0,Sound Reasoning
qwen25_3b,alphabetical_think_answer,226,-7.16,-0.4,-0.4,0,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,227,-7.16,-0.4,0.4,1,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,225,-7.16,-0.4,0.4,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,229,-7.16,-0.4,0.4,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,233,-7.16,-0.4,0.4,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,228,-7.16,-0.4,-0.4,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,223,-7.16,-0.4,0.4,1,Incoherent Hallucination
qwen25_3b,alphabetical_think_answer,230,-7.16,-0.4,-0.4,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,231,-7.16,-0.4,0.4,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,232,-7.16,-0.4,-0.4,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,235,-7.16,-0.4,0.4,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,224,-7.16,-0.4,-0.4,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,240,-3.58,-0.2,-0.2,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,238,-7.16,-0.4,-0.4,0,Incoherent Hallucination
qwen25_3b,alphabetical_think_answer,237,-7.16,-0.4,0.4,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,241,-3.58,-0.2,0.2,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,243,-3.58,-0.2,0.2,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,236,-7.16,-0.4,-0.4,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,239,-7.16,-0.4,0.4,0,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,244,-3.58,-0.2,-0.2,0,Sound Reasoning
qwen25_3b,alphabetical_think_answer,234,-7.16,-0.4,-0.4,0,Sound Reasoning
qwen25_3b,alphabetical_think_answer,245,-3.58,-0.2,0.2,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,248,-3.58,-0.2,-0.2,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,247,-3.58,-0.2,0.2,0,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,251,-3.58,-0.2,0.2,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,246,-3.58,-0.2,-0.2,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,249,-3.58,-0.2,0.2,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,250,-3.58,-0.2,-0.2,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,258,-3.58,-0.2,-0.2,0,Sound Reasoning
qwen25_3b,alphabetical_think_answer,254,-3.58,-0.2,-0.2,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,242,-3.58,-0.2,-0.2,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,260,-3.58,-0.2,-0.2,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,256,-3.58,-0.2,-0.2,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,255,-3.58,-0.2,0.2,1,Incoherent Hallucination
qwen25_3b,alphabetical_think_answer,262,-3.58,-0.2,-0.2,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,252,-3.58,-0.2,-0.2,0,Sound Reasoning
qwen25_3b,alphabetical_think_answer,259,-3.58,-0.2,0.2,0,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,257,-3.58,-0.2,0.2,0,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,263,-3.58,-0.2,0.2,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,265,-3.58,-0.2,0.2,1,Incoherent Hallucination
qwen25_3b,alphabetical_think_answer,266,-3.58,-0.2,-0.2,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,253,-3.58,-0.2,0.2,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,261,-3.58,-0.2,0.2,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,264,-3.58,-0.2,-0.2,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,267,-3.58,-0.2,0.2,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,268,-3.58,-0.2,-0.2,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,269,-3.58,-0.2,0.2,0,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,271,-3.58,-0.2,0.2,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,270,-3.58,-0.2,-0.2,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,274,-3.58,-0.2,-0.2,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,276,-3.58,-0.2,-0.2,0,Incoherent Hallucination
qwen25_3b,alphabetical_think_answer,279,-3.58,-0.2,0.2,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,272,-3.58,-0.2,0.2,1,Coherent Hallucination
qwen25_3b,alphabetical_think_answer,275,-3.58,-0.2,0.2,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,285,-3.58,-0.2,0.2,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,280,-3.58,-0.2,-0.2,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,282,-3.58,-0.2,-0.2,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,273,-3.58,-0.2,-0.2,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,278,-3.58,-0.2,-0.2,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,277,-3.58,-0.2,0.2,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,286,-3.58,-0.2,-0.2,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,283,-3.58,-0.2,0.2,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,288,-3.58,-0.2,-0.2,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,281,-3.58,-0.2,0.2,1,Incoherent Hallucination
qwen25_3b,alphabetical_think_answer,284,-3.58,-0.2,-0.2,0,Contradictory Reasoning
qwen25_3b,alphabetical_think_answer,289,-3.58,-0.2,0.2,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,287,-3.58,-0.2,0.2,1,Incoherent Hallucination
qwen25_3b,alphabetical_think_answer,292,-3.58,-0.2,-0.2,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,295,-3.58,-0.2,0.2,1,Sound Reasoning
qwen25_3b,alphabetical_think_answer,290,-3.58,-0.2,-0.2,0,Contradictory Reasoning
