pair_id,word_A,word_B
valenced_nonopposite::affective::012,Trusting,Despairing
valenced_nonopposite::affective::013,Confident,Negative
valenced_nonopposite::affective::014,Assured,Dislike
valenced_nonopposite::affective::015,Moved,Pessimistic
valenced_nonopposite::affective::016,Relaxed,Oppose
valenced_nonopposite::affective::017,Expectant,Unfavorable
valenced_nonopposite::affective::018,Joyful,Bored
valenced_nonopposite::affective::019,Hopeful,Disappointed
valenced_nonopposite::deontic::000,Moral,Irresponsible
valenced_nonopposite::deontic::001,Fair,Treacherous
valenced_nonopposite::deontic::002,Good,Insulting
valenced_nonopposite::deontic::003,Legal,Cruel
valenced_nonopposite::deontic::004,Reasonable,Untrustworthy
valenced_nonopposite::deontic::005,Honest,Dishonorable
valenced_nonopposite::deontic::006,Righteous,Shameful
valenced_nonopposite::deontic::007,Responsible,Indulgent
valenced_nonopposite::deontic::008,Loyal,Insincere
valenced_nonopposite::deontic::009,Respectful,Malicious
valenced_nonopposite::deontic::010,Kind,Harsh
valenced_nonopposite::deontic::011,Trustworthy,Self-serving
valenced_nonopposite::deontic::012,Upright,Biased
valenced_nonopposite::deontic::013,Honorable,Immoral
valenced_nonopposite::deontic::014,Disciplined,Unfair
valenced_nonopposite::deontic::015,Sincere,Evil
valenced_nonopposite::deontic::016,Well-intentioned,Illegal
valenced_nonopposite::deontic::017,Tolerant,Unreasonable
valenced_nonopposite::deontic::018,Public-minded,Deceptive
valenced_nonopposite::deontic::019,Impartial,Wicked
valenced_nonopposite::epistemic::000,Correct,Counterfeit
valenced_nonopposite::epistemic::001,True,Nonsensical
valenced_nonopposite::epistemic::002,Logical,Biased
valenced_nonopposite::epistemic::003,Certain,Vague
valenced_nonopposite::epistemic::004,Valid,Careless
valenced_nonopposite::epistemic::005,Accurate,Unscientific
valenced_nonopposite::epistemic::006,Reliable,Contradictory
valenced_nonopposite::epistemic::007,Authentic,Unverifiable
valenced_nonopposite::epistemic::008,Sensible,Unpredictable
valenced_nonopposite::epistemic::009,Objective,Ambiguous
valenced_nonopposite::epistemic::010,Clear,Fake
valenced_nonopposite::epistemic::011,Rigorous,Accidental
valenced_nonopposite::epistemic::012,Scientific,Fallacious reasoning
valenced_nonopposite::epistemic::013,Consistent,Incorrect
valenced_nonopposite::epistemic::014,Verifiable,False
valenced_nonopposite::epistemic::015,Predictable,Illogical
valenced_nonopposite::epistemic::016,Lucid,Uncertain
valenced_nonopposite::epistemic::017,Real,Invalid
valenced_nonopposite::epistemic::018,Inevitable,Inaccurate
valenced_nonopposite::epistemic::019,Sound reasoning,Unreliable
valenced_nonopposite::utilitarian::000,Effective,Inconvenient
valenced_nonopposite::utilitarian::001,Beneficial,Unprofitable
valenced_nonopposite::utilitarian::002,Gain,Unsuccessful
valenced_nonopposite::utilitarian::003,Advantage,Short-lived
valenced_nonopposite::utilitarian::004,Feasible,Dangerous
valenced_nonopposite::utilitarian::005,Efficient,Unstable
valenced_nonopposite::utilitarian::006,Saving,Impractical
valenced_nonopposite::utilitarian::007,Convenient,Wasteful
valenced_nonopposite::utilitarian::008,Profitable,Inferior
valenced_nonopposite::utilitarian::009,Successful,Declining
valenced_nonopposite::utilitarian::010,Durable,Depressed
valenced_nonopposite::utilitarian::011,Safe,Unhealthy
valenced_nonopposite::utilitarian::012,Stable,Deteriorating
valenced_nonopposite::utilitarian::013,Practical,Ineffective
valenced_nonopposite::utilitarian::014,Thrifty,Harmful
valenced_nonopposite::utilitarian::015,Optimized,Loss
valenced_nonopposite::utilitarian::016,Growing,Disadvantage
valenced_nonopposite::utilitarian::017,Prosperous,Infeasible
valenced_nonopposite::utilitarian::018,Healthy,Inefficient
valenced_nonopposite::utilitarian::019,Improving,Wasteful
valenced_opposite::affective::000,Positive,Negative
valenced_opposite::affective::001,Like,Dislike
valenced_opposite::affective::002,Optimistic,Pessimistic
valenced_opposite::affective::003,Support,Oppose
valenced_opposite::affective::004,Favorable,Unfavorable
valenced_opposite::affective::005,Excited,Bored
valenced_opposite::affective::006,Satisfied,Disappointed
valenced_opposite::affective::007,Enthusiastic,Apathetic
valenced_opposite::affective::008,Happy,Sad
valenced_opposite::affective::009,Content,Discontent
valenced_opposite::affective::010,Love,Hate
valenced_opposite::affective::011,Grateful,Resentful
valenced_opposite::affective::012,Trusting,Suspicious
valenced_opposite::affective::013,Confident,Insecure
valenced_opposite::affective::014,Assured,Uneasy
valenced_opposite::affective::015,Moved,Indifferent
valenced_opposite::affective::016,Relaxed,Tense
valenced_opposite::affective::017,Expectant,Weary
valenced_opposite::affective::018,Joyful,Angry
valenced_opposite::affective::019,Hopeful,Despairing
valenced_opposite::deontic::000,Moral,Immoral
valenced_opposite::deontic::001,Fair,Unfair
valenced_opposite::deontic::002,Good,Evil
valenced_opposite::deontic::003,Legal,Illegal
valenced_opposite::deontic::004,Reasonable,Unreasonable
valenced_opposite::deontic::005,Honest,Deceptive
valenced_opposite::deontic::006,Righteous,Wicked
valenced_opposite::deontic::007,Responsible,Irresponsible
valenced_opposite::deontic::008,Loyal,Treacherous
valenced_opposite::deontic::009,Respectful,Insulting
valenced_opposite::deontic::010,Kind,Cruel
valenced_opposite::deontic::011,Trustworthy,Untrustworthy
valenced_opposite::deontic::012,Upright,Dishonorable
valenced_opposite::deontic::013,Honorable,Shameful
valenced_opposite::deontic::014,Disciplined,Indulgent
valenced_opposite::deontic::015,Sincere,Insincere
valenced_opposite::deontic::016,Well-intentioned,Malicious
valenced_opposite::deontic::017,Tolerant,Harsh
valenced_opposite::deontic::018,Public-minded,Self-serving
valenced_opposite::deontic::019,Impartial,Biased
valenced_opposite::epistemic::000,Correct,Incorrect
valenced_opposite::epistemic::001,True,False
valenced_opposite::epistemic::002,Logical,Illogical
valenced_opposite::epistemic::003,Certain,Uncertain
valenced_opposite::epistemic::004,Valid,Invalid
valenced_opposite::epistemic::005,Accurate,Inaccurate
valenced_opposite::epistemic::006,Reliable,Unreliable
valenced_opposite::epistemic::007,Authentic,Counterfeit
valenced_opposite::epistemic::008,Sensible,Nonsensical
valenced_opposite::epistemic::009,Objective,Biased
valenced_opposite::epistemic::010,Clear,Vague
valenced_opposite::epistemic::011,Rigorous,Careless
valenced_opposite::epistemic::012,Scientific,Unscientific
valenced_opposite::epistemic::013,Consistent,Contradictory
valenced_opposite::epistemic::014,Verifiable,Unverifiable
valenced_opposite::epistemic::015,Predictable,Unpredictable
valenced_opposite::epistemic::016,Lucid,Ambiguous
valenced_opposite::epistemic::017,Real,Fake
valenced_opposite::epistemic::018,Inevitable,Accidental
valenced_opposite::epistemic::019,Sound reasoning,Fallacious reasoning
valenced_opposite::utilitarian::000,Effective,Ineffective
valenced_opposite::utilitarian::001,Beneficial,Harmful
valenced_opposite::utilitarian::002,Gain,Loss
valenced_opposite::utilitarian::003,Advantage,Disadvantage
valenced_opposite::utilitarian::004,Feasible,Infeasible
valenced_opposite::utilitarian::005,Efficient,Inefficient
valenced_opposite::utilitarian::006,Saving,Wasteful
valenced_opposite::utilitarian::007,Convenient,Inconvenient
valenced_opposite::utilitarian::008,Profitable,Unprofitable
valenced_opposite::utilitarian::009,Successful,Unsuccessful
valenced_opposite::utilitarian::010,Durable,Short-lived
valenced_opposite::utilitarian::011,Safe,Dangerous
valenced_opposite::utilitarian::012,Stable,Unstable
valenced_opposite::utilitarian::013,Practical,Impractical
valenced_opposite::utilitarian::014,Thrifty,Wasteful
valenced_opposite::utilitarian::015,Optimized,Inferior
valenced_opposite::utilitarian::016,Growing,Declining
valenced_opposite::utilitarian::017,Prosperous,Depressed
valenced_opposite::utilitarian::018,Healthy,Unhealthy
valenced_opposite::utilitarian::019,Improving,Deteriorating
