prompt,domain,condition,w_pos,w_neg,w_first,w_second,PCA1,PCA2,D_stance,true_answer,response
'j' comes before 'i' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,i,j,j,i,21.031134,-0.4020083,-13.487177421796437,wrong,wrong
'j' comes before 'k' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,j,k,j,k,-2.1203687,-2.1581838,1.5478150857853092,right,right
'k' comes before 'j' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,j,k,k,j,-0.8005421,-4.332992,0.3186119073634882,wrong,right
'k' comes before 'l' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,k,l,k,l,-11.49153,0.9136251,7.102350631258054,right,right
'l' comes before 'k' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,k,l,l,k,18.06992,-2.8020928,-12.20243190220355,wrong,wrong
'l' comes before 'm' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,l,m,l,m,-7.235376,1.3724159,4.412730458882956,right,right
'm' comes before 'l' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,l,m,m,l,15.119001,-0.31394717,-9.117359268218669,wrong,wrong
'm' comes before 'n' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,m,n,m,n,-10.801374,3.7831411,7.032735203188376,right,right
'n' comes before 'm' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,m,n,n,m,9.183495,1.2772713,-5.595253603609781,wrong,wrong
'n' comes before 'o' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,n,o,n,o,-1.9185536,-0.8467447,0.9102037045651108,right,right
'o' comes before 'n' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,n,o,o,n,9.98938,1.0705862,-5.775728266663056,wrong,wrong
'o' comes before 'p' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,o,p,o,p,-11.138536,4.921623,7.353138880979365,right,right
'p' comes before 'o' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,o,p,p,o,-0.0984281,0.08305094,0.5067066136985523,wrong,right
'p' comes before 'q' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,p,q,p,q,-10.0040455,0.162661,6.214966324050151,right,right
'q' comes before 'p' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,p,q,q,p,2.4101942,-0.7833257,-1.0858022818928137,wrong,wrong
'q' comes before 'r' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,q,r,q,r,-9.200071,2.0968742,5.678607902765362,right,right
'r' comes before 'q' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,q,r,r,q,9.55983,-2.7875745,-6.538588981576881,wrong,wrong
'r' comes before 's' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,r,s,r,s,-5.485115,-0.2732937,2.699552359812261,right,right
's' comes before 'r' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,r,s,s,r,7.670341,-0.8734926,-3.1065798734457095,wrong,wrong
's' comes before 't' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,s,t,s,t,-9.094655,1.7696272,5.912885202731496,right,right
't' comes before 's' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,s,t,t,s,-0.47974437,-0.8096349,0.9555234525969946,wrong,right
't' comes before 'u' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,t,u,t,u,-6.968631,-0.8991056,4.076732607531106,right,right
'u' comes before 't' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,t,u,u,t,11.924493,-0.5541987,-6.7074802180682855,wrong,wrong
'u' comes before 'v' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,u,v,u,v,-6.27676,-3.892187,2.4961515439374953,right,right
'v' comes before 'u' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,u,v,v,u,6.8473473,-2.0781898,-4.442767182813117,wrong,wrong
'v' comes before 'w' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,v,w,v,w,-5.141075,-1.721267,2.5711027620026536,right,right
'w' comes before 'v' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,v,w,w,v,1.8005729,-7.567441,-2.7208246483451415,wrong,wrong
'w' comes before 'x' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,w,x,w,x,-8.622792,-2.4008384,5.120876403783117,right,right
'x' comes before 'w' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,w,x,x,w,2.34275,0.7865762,-1.327582006395141,wrong,wrong
'x' comes before 'y' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,x,y,x,y,-6.8370175,1.4404714,3.5550508994930157,right,right
'y' comes before 'x' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,x,y,y,x,2.5533564,-2.522068,-2.1523884018405113,wrong,wrong
'y' comes before 'z' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,y,z,y,z,-12.50705,4.83051,8.6363752986762,right,right
'z' comes before 'y' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,y,z,z,y,12.135705,1.7514877,-6.423158030375257,wrong,wrong
'a' comes before 'c' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,a,c,a,c,-18.947298,6.270959,12.790642921237128,right,right
'c' comes before 'a' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,a,c,c,a,26.35308,12.214068,-18.703390620723958,wrong,wrong
'b' comes before 'd' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,b,d,b,d,-14.060735,4.0118103,9.881079888577103,right,right
'd' comes before 'b' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,b,d,d,b,5.8505125,-0.36616465,-2.960678798589932,wrong,wrong
'c' comes before 'e' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,c,e,c,e,-4.883912,0.56218356,2.8907195040223166,right,right
'e' comes before 'c' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,c,e,e,c,6.0451994,-2.259506,-3.767680567990452,wrong,wrong
'd' comes before 'f' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,d,f,d,f,-5.5761194,-0.1549369,3.7568036047607567,right,right
'f' comes before 'd' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,d,f,f,d,13.987383,2.7276812,-7.924001765181565,wrong,wrong
'e' comes before 'g' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,e,g,e,g,-3.7708907,-0.43817642,2.9939066681534987,right,right
'g' comes before 'e' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,e,g,g,e,-0.80357105,-3.6084387,0.30498039169468305,wrong,right
'f' comes before 'h' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,f,h,f,h,-7.386384,-0.36073494,5.126691234722175,right,right
'h' comes before 'f' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,f,h,h,f,6.216623,-4.870258,-4.1621717716558955,wrong,wrong
'g' comes before 'i' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,g,i,g,i,-6.416774,-0.7305226,3.9621324634421313,right,right
'i' comes before 'g' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,g,i,i,g,3.8690627,-4.406654,-1.8030758226286085,wrong,wrong
'h' comes before 'j' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,h,j,h,j,-16.213589,0.83248585,9.766987798708081,right,right
'j' comes before 'h' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,h,j,j,h,14.285585,-3.0462859,-8.974138996735476,wrong,wrong
'i' comes before 'k' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,i,k,i,k,-0.81071377,-4.908859,0.8400790106197669,right,right
'k' comes before 'i' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,i,k,k,i,8.13406,-4.115994,-5.702448533520941,wrong,wrong
'j' comes before 'l' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,j,l,j,l,-4.242903,-1.2621756,2.8780398426687612,right,right
'l' comes before 'j' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,j,l,l,j,2.6967182,-6.3305755,-2.3091445447106427,wrong,wrong
'k' comes before 'm' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,k,m,k,m,-8.056341,-1.2564412,5.052619475012221,right,right
'm' comes before 'k' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,k,m,m,k,17.385195,-2.5334275,-10.671378497731055,wrong,wrong
'l' comes before 'n' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,l,n,l,n,1.3541338,-0.7565151,-1.0429612706517037,right,right
'n' comes before 'l' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,l,n,n,l,6.0436873,-1.9315538,-4.094176330786338,wrong,wrong
'm' comes before 'o' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,m,o,m,o,-9.602429,0.27767,6.019528209774224,right,right
'o' comes before 'm' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,m,o,o,m,8.943915,-0.16584113,-5.053175518065789,wrong,wrong
'n' comes before 'p' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,n,p,n,p,-8.956643,0.31495768,5.671737937713096,right,right
'p' comes before 'n' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,n,p,p,n,5.7977715,0.36144528,-2.5939157092188463,wrong,wrong
'o' comes before 'q' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,o,q,o,q,-3.281933,-2.1029584,1.7495418651707153,right,right
'q' comes before 'o' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,o,q,q,o,5.650771,-1.4020612,-3.2682613870877453,wrong,wrong
'p' comes before 'r' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,p,r,p,r,-8.402702,1.8336698,5.55625066845041,right,right
'r' comes before 'p' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,p,r,r,p,1.3370829,-1.891887,-1.2647513201502716,wrong,wrong
'q' comes before 's' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,q,s,q,s,-10.431984,2.2142236,6.970800376382098,right,right
's' comes before 'q' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,q,s,s,q,-2.5647073,-4.968208,2.053677054970274,wrong,right
'r' comes before 't' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,r,t,r,t,-2.8673887,-0.45302764,1.4843386203045068,right,right
't' comes before 'r' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,r,t,t,r,6.5656404,-1.7453861,-3.6518980853501457,wrong,wrong
's' comes before 'u' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,s,u,s,u,-5.032384,-1.7026594,3.2744784506347004,right,right
'u' comes before 's' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,s,u,u,s,3.1108131,-2.105301,-1.0713291025674008,wrong,right
't' comes before 'v' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,t,v,t,v,-3.960624,-4.7607183,1.946034833392796,right,right
'v' comes before 't' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,t,v,v,t,7.6577873,-2.8121572,-4.16049357882388,wrong,wrong
'u' comes before 'w' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,u,w,u,w,-8.875514,-0.670642,4.567093839552234,right,right
'w' comes before 'u' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,u,w,w,u,4.185137,-3.490111,-2.944771099847169,wrong,wrong
'v' comes before 'x' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,v,x,v,x,-1.0887499,-5.398868,0.32064123294457325,right,right
'x' comes before 'v' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,v,x,x,v,-2.2928178,-1.8070638,1.0572517196469569,wrong,right
'w' comes before 'y' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,w,y,w,y,-0.9023788,-4.9579086,0.40856625189169116,right,right
'y' comes before 'w' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,w,y,y,w,3.545962,-4.543719,-2.6368416576525244,wrong,wrong
'x' comes before 'z' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,x,z,x,z,-17.910147,5.0877476,11.704014286422758,right,right
'z' comes before 'x' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,x,z,z,x,5.6071663,-3.6213293,-1.9037266037456073,wrong,wrong
'a' comes before 'd' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,congruent,a,d,a,d,-17.705112,5.7766623,11.66112845300137,right,right
'd' comes before 'a' in alphabetical order. Is it right or wrong? Please answer only with 'right' or 'wrong'.,level1,incongruent,a,d,d,a,15.250132,3.1486254,-9.923058235056814,wrong,wrong
