prompt,domain,condition,w_pos,w_neg,w_first,w_second,answer_pair,prompt_protocol,true_label,false_label,PCA1,PCA2,D_stance,true_answer,response,parsed_response
'k' comes before 'j' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,j,k,k,j,true_false,r1_matched_answer_labels_v2,true,false,0.55592144,-4.1083508,-0.30129701812100645,false,true,true
'k' comes before 'l' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,k,l,k,l,true_false,r1_matched_answer_labels_v2,true,false,-11.664243,1.097477,7.2124587160080225,true,true,true
'l' comes before 'k' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,k,l,l,k,true_false,r1_matched_answer_labels_v2,true,false,17.023567,-3.2443228,-11.677102641619296,false,false,false
'l' comes before 'm' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,l,m,l,m,true_false,r1_matched_answer_labels_v2,true,false,-9.978748,2.2053797,5.758176079954199,true,true,true
'm' comes before 'l' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,l,m,m,l,true_false,r1_matched_answer_labels_v2,true,false,12.925432,-0.059711695,-7.418632122318609,false,false,false
'm' comes before 'n' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,m,n,m,n,true_false,r1_matched_answer_labels_v2,true,false,-12.13627,4.5212364,7.506864915516669,true,true,true
'n' comes before 'm' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,m,n,n,m,true_false,r1_matched_answer_labels_v2,true,false,8.682261,0.7621219,-5.474594050118531,false,false,false
'n' comes before 'o' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,n,o,n,o,true_false,r1_matched_answer_labels_v2,true,false,-0.8614698,-1.2703605,-0.22472395965318148,true,true,true
'o' comes before 'n' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,n,o,o,n,true_false,r1_matched_answer_labels_v2,true,false,10.328611,0.5093867,-5.927441080550144,false,false,false
'o' comes before 'p' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,o,p,o,p,true_false,r1_matched_answer_labels_v2,true,false,-11.186245,4.761219,7.300127234085697,true,true,true
'p' comes before 'o' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,o,p,p,o,true_false,r1_matched_answer_labels_v2,true,false,0.55294746,0.7472481,0.1626635265984952,false,true,true
'p' comes before 'q' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,p,q,p,q,true_false,r1_matched_answer_labels_v2,true,false,-9.82856,0.8608602,5.832698311203192,true,true,true
'q' comes before 'p' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,p,q,q,p,true_false,r1_matched_answer_labels_v2,true,false,3.2402985,-0.8485542,-1.60833181180992,false,false,false
'q' comes before 'r' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,q,r,q,r,true_false,r1_matched_answer_labels_v2,true,false,-9.914272,2.286698,6.342933180865527,true,true,true
'r' comes before 'q' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,q,r,r,q,true_false,r1_matched_answer_labels_v2,true,false,8.50497,-1.9262174,-5.661713641197299,false,false,false
'r' comes before 's' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,r,s,r,s,true_false,r1_matched_answer_labels_v2,true,false,-6.3297324,-0.054707825,3.429169383569981,true,true,true
's' comes before 'r' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,r,s,s,r,true_false,r1_matched_answer_labels_v2,true,false,6.511816,-0.72444606,-2.2151822186504733,false,false,false
's' comes before 't' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,s,t,s,t,true_false,r1_matched_answer_labels_v2,true,false,-9.569095,2.4879148,6.3075083348365295,true,true,true
't' comes before 's' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,s,t,t,s,true_false,r1_matched_answer_labels_v2,true,false,-0.38783708,-0.5926973,1.0816560691828134,false,true,true
't' comes before 'u' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,t,u,t,u,true_false,r1_matched_answer_labels_v2,true,false,-6.210639,-0.8240242,3.4899112852188203,true,true,true
'u' comes before 't' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,t,u,u,t,true_false,r1_matched_answer_labels_v2,true,false,11.890869,-0.38834527,-6.235151545614935,false,false,false
'u' comes before 'v' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,u,v,u,v,true_false,r1_matched_answer_labels_v2,true,false,-6.506652,-4.078188,2.509457505177029,true,true,true
'v' comes before 'u' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,u,v,v,u,true_false,r1_matched_answer_labels_v2,true,false,7.296517,-1.5528729,-4.7819753558488305,false,false,false
'v' comes before 'w' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,v,w,v,w,true_false,r1_matched_answer_labels_v2,true,false,-6.1579704,-2.6198802,2.9529263882512744,true,true,true
'w' comes before 'v' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,v,w,w,v,true_false,r1_matched_answer_labels_v2,true,false,1.6065649,-8.728916,-2.7932484590644657,false,true,true
'w' comes before 'x' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,w,x,w,x,true_false,r1_matched_answer_labels_v2,true,false,-7.135359,-4.521308,4.004230298737083,true,true,true
'x' comes before 'w' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,w,x,x,w,true_false,r1_matched_answer_labels_v2,true,false,5.264625,-0.036892172,-3.001037462549096,false,false,false
'x' comes before 'y' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,x,y,x,y,true_false,r1_matched_answer_labels_v2,true,false,-7.109887,2.0222926,3.274299201250638,true,true,true
'y' comes before 'x' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,x,y,y,x,true_false,r1_matched_answer_labels_v2,true,false,2.1810875,-3.0474646,-1.756705969614912,false,true,true
'y' comes before 'z' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,y,z,y,z,true_false,r1_matched_answer_labels_v2,true,false,-11.169743,4.547324,8.268988033744531,true,true,true
'z' comes before 'y' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,y,z,z,y,true_false,r1_matched_answer_labels_v2,true,false,14.051974,1.900118,-7.284720752658982,false,false,false
'a' comes before 'c' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,a,c,a,c,true_false,r1_matched_answer_labels_v2,true,false,-19.614511,6.623884,12.658008751675762,true,true,true
'c' comes before 'a' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,a,c,c,a,true_false,r1_matched_answer_labels_v2,true,false,28.548403,13.143353,-20.380278996787496,false,false,false
'b' comes before 'd' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,b,d,b,d,true_false,r1_matched_answer_labels_v2,true,false,-14.263886,4.4204993,9.677448254609208,true,true,true
'd' comes before 'b' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,b,d,d,b,true_false,r1_matched_answer_labels_v2,true,false,5.456931,0.30289707,-2.5725157141076167,false,true,true
'c' comes before 'e' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,c,e,c,e,true_false,r1_matched_answer_labels_v2,true,false,-3.8320024,0.93871003,2.007477956448138,true,true,true
'e' comes before 'c' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,c,e,e,c,true_false,r1_matched_answer_labels_v2,true,false,7.927258,-2.512617,-4.749500863443869,false,true,true
'd' comes before 'f' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,d,f,d,f,true_false,r1_matched_answer_labels_v2,true,false,-6.179446,-0.5674798,4.251690407574807,true,true,true
'f' comes before 'd' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,d,f,f,d,true_false,r1_matched_answer_labels_v2,true,false,16.353394,3.406784,-9.348848615514392,false,false,false
'e' comes before 'g' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,e,g,e,g,true_false,r1_matched_answer_labels_v2,true,false,-4.153387,-1.2157029,3.1440108152989,true,true,true
'g' comes before 'e' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,e,g,g,e,true_false,r1_matched_answer_labels_v2,true,false,1.6781694,-3.5841153,-1.26700532355513,false,true,true
'f' comes before 'h' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,f,h,f,h,true_false,r1_matched_answer_labels_v2,true,false,-7.884169,-0.34842166,4.968618086254964,true,true,true
'h' comes before 'f' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,f,h,h,f,true_false,r1_matched_answer_labels_v2,true,false,5.5977335,-5.236758,-3.6718080685192684,false,true,true
'g' comes before 'i' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,g,i,g,i,true_false,r1_matched_answer_labels_v2,true,false,-8.065367,0.10194102,4.9324126665070525,true,true,true
'i' comes before 'g' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,g,i,i,g,true_false,r1_matched_answer_labels_v2,true,false,5.641253,-4.78215,-3.193216187439942,false,false,false
'h' comes before 'j' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,h,j,h,j,true_false,r1_matched_answer_labels_v2,true,false,-16.390247,-0.39076245,9.671578760224508,true,true,true
'j' comes before 'h' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,h,j,j,h,true_false,r1_matched_answer_labels_v2,true,false,12.259582,-2.8003707,-7.336445466921088,false,false,false
'i' comes before 'k' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,i,k,i,k,true_false,r1_matched_answer_labels_v2,true,false,-2.1121953,-4.5315285,1.3506739910594057,true,true,true
'k' comes before 'i' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,i,k,k,i,true_false,r1_matched_answer_labels_v2,true,false,7.76448,-3.7983782,-5.2079714724447275,false,false,false
'j' comes before 'l' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,j,l,j,l,true_false,r1_matched_answer_labels_v2,true,false,-5.6827765,-0.80338913,3.881880975148068,true,true,true
'l' comes before 'j' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,j,l,l,j,true_false,r1_matched_answer_labels_v2,true,false,2.1043098,-6.553404,-2.0920248559568604,false,true,true
'k' comes before 'm' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,k,m,k,m,true_false,r1_matched_answer_labels_v2,true,false,-8.591506,-1.5315524,5.317826967093043,true,true,true
'm' comes before 'k' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,k,m,m,k,true_false,r1_matched_answer_labels_v2,true,false,16.758186,-2.866656,-10.328278952283139,false,false,false
'l' comes before 'n' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,l,n,l,n,true_false,r1_matched_answer_labels_v2,true,false,-2.3136487,-0.020431075,1.0409954113856277,true,true,true
'n' comes before 'l' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,l,n,n,l,true_false,r1_matched_answer_labels_v2,true,false,6.5500073,-2.3370957,-4.6521902151917125,false,false,false
'm' comes before 'o' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,m,o,m,o,true_false,r1_matched_answer_labels_v2,true,false,-11.048475,1.0615392,6.76337626300398,true,true,true
'o' comes before 'm' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,m,o,o,m,true_false,r1_matched_answer_labels_v2,true,false,8.486559,-0.7764105,-4.878131513243506,false,false,false
'n' comes before 'p' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,n,p,n,p,true_false,r1_matched_answer_labels_v2,true,false,-8.947307,-0.42424262,5.386220297829016,true,true,true
'p' comes before 'n' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,n,p,p,n,true_false,r1_matched_answer_labels_v2,true,false,5.7358494,1.0828228,-2.5260708640740823,false,false,false
'o' comes before 'q' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,o,q,o,q,true_false,r1_matched_answer_labels_v2,true,false,-3.374487,-2.637651,1.952852796584215,true,true,true
'q' comes before 'o' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,o,q,q,o,true_false,r1_matched_answer_labels_v2,true,false,6.164668,-1.2517164,-3.2964253292223606,false,false,false
'p' comes before 'r' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,p,r,p,r,true_false,r1_matched_answer_labels_v2,true,false,-9.073638,2.3801377,5.855984731831629,true,true,true
'r' comes before 'p' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,p,r,r,p,true_false,r1_matched_answer_labels_v2,true,false,-0.1548504,-1.2322963,-0.22896792588356865,false,true,true
'q' comes before 's' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,q,s,q,s,true_false,r1_matched_answer_labels_v2,true,false,-11.358983,2.2281485,7.713800834906364,true,true,true
's' comes before 'q' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,q,s,s,q,true_false,r1_matched_answer_labels_v2,true,false,-3.5556355,-5.522587,2.6304015376963887,false,true,true
'r' comes before 't' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,r,t,r,t,true_false,r1_matched_answer_labels_v2,true,false,-6.1046185,0.9330918,3.900032607511097,true,true,true
't' comes before 'r' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,r,t,t,r,true_false,r1_matched_answer_labels_v2,true,false,5.959629,-1.356936,-2.932630840379682,false,false,false
's' comes before 'u' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,s,u,s,u,true_false,r1_matched_answer_labels_v2,true,false,-4.5167375,-2.2855024,2.9301690806477527,true,true,true
'u' comes before 's' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,s,u,u,s,true_false,r1_matched_answer_labels_v2,true,false,2.1709242,-2.0078428,-0.2727968975026336,false,true,true
't' comes before 'v' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,t,v,t,v,true_false,r1_matched_answer_labels_v2,true,false,-3.3903577,-5.8480453,1.60875302874475,true,true,true
'v' comes before 't' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,t,v,v,t,true_false,r1_matched_answer_labels_v2,true,false,7.8409476,-2.5421739,-4.215239568171294,false,false,false
'u' comes before 'w' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,u,w,u,w,true_false,r1_matched_answer_labels_v2,true,false,-7.980115,-2.4364364,4.1394262501883405,true,true,true
'w' comes before 'u' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,u,w,w,u,true_false,r1_matched_answer_labels_v2,true,false,5.0123825,-3.3665447,-3.3960901942063746,false,false,false
'v' comes before 'x' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,v,x,v,x,true_false,r1_matched_answer_labels_v2,true,false,-0.6717154,-6.5622206,0.23376676941393038,true,true,true
'x' comes before 'v' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,v,x,x,v,true_false,r1_matched_answer_labels_v2,true,false,-0.19612344,-2.4315534,-0.18885825019567168,false,true,true
'w' comes before 'y' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,w,y,w,y,true_false,r1_matched_answer_labels_v2,true,false,0.13875386,-6.8104486,-0.39719032891773964,true,true,true
'y' comes before 'w' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,w,y,y,w,true_false,r1_matched_answer_labels_v2,true,false,4.1459765,-5.618151,-2.7926630795879634,false,true,true
'x' comes before 'z' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,x,z,x,z,true_false,r1_matched_answer_labels_v2,true,false,-16.723753,4.1323504,11.000975732972632,true,true,true
'z' comes before 'x' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,x,z,z,x,true_false,r1_matched_answer_labels_v2,true,false,6.6611824,-3.7124877,-2.417343314225632,false,false,false
'a' comes before 'd' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,congruent,a,d,a,d,true_false,r1_matched_answer_labels_v2,true,false,-17.53498,5.790138,11.0213925828366,true,true,true
'd' comes before 'a' in alphabetical order. Is it true or false? Please answer only with 'true' or 'false'.,level1,incongruent,a,d,d,a,true_false,r1_matched_answer_labels_v2,true,false,15.429393,3.7926908,-9.359500987221846,false,false,false
