word,tag,domain,prompt,PCA1,PCA2,D_stance
Unverifiable,Negative,epistemic,The overall assessment is unverifiable.,5.5175915,-3.6462069,-7.743204885419587
Predictable,Positive,epistemic,The overall assessment is predictable.,1.2707317,0.3131044,-8.844229099416975
Unpredictable,Negative,epistemic,The overall assessment is unpredictable.,1.7573478,2.9565117,-8.062094633557074
Lucid,Positive,epistemic,The overall assessment is lucid.,-11.971367,-2.112002,-4.459159120490794
Ambiguous,Negative,epistemic,The overall assessment is ambiguous.,7.7629757,-5.2006207,-7.08283548283546
Real,Positive,epistemic,The overall assessment is real.,-5.3484473,-4.950327,-6.608253554931855
Fake,Negative,epistemic,The overall assessment is fake.,15.448447,-7.8754034,-11.705802503471107
Inevitable,Positive,epistemic,The overall assessment is inevitable.,0.3168435,1.7594392,-6.496397719550702
Accidental,Negative,epistemic,The overall assessment is accidental.,2.5987732,6.3016253,-11.319614225642018
Sound reasoning,Positive,epistemic,The overall assessment is sound reasoning.,-8.643428,-6.3133154,-4.323304496292628
Fallacious reasoning,Negative,epistemic,The overall assessment is fallacious reasoning.,12.393712,5.348159,-9.713106414559721
Effective,Positive,utilitarian,The overall assessment is effective.,-11.981793,-4.4191065,-5.487315793702129
Ineffective,Negative,utilitarian,The overall assessment is ineffective.,15.181003,-2.6195529,-9.408877709482416
Beneficial,Positive,utilitarian,The overall assessment is beneficial.,-10.717707,-5.217092,-3.378956021144492
Harmful,Negative,utilitarian,The overall assessment is harmful.,14.826276,-2.3223784,-11.767984990367648
Gain,Positive,utilitarian,The overall assessment is gain.,-11.199013,13.257267,-6.20458594148664
Loss,Negative,utilitarian,The overall assessment is loss.,1.4316213,11.863099,-9.756450401324777
Advantage,Positive,utilitarian,The overall assessment is advantage.,-8.051509,8.28517,-6.608305686195314
Disadvantage,Negative,utilitarian,The overall assessment is disadvantage.,2.430323,9.819962,-10.352567656479192
Feasible,Positive,utilitarian,The overall assessment is feasible.,-11.46395,-3.212174,-4.376529773738344
Infeasible,Negative,utilitarian,The overall assessment is infeasible.,6.8196945,0.46804094,-9.026825572953506
Efficient,Positive,utilitarian,The overall assessment is efficient.,-12.247441,-3.0932395,-5.59227263352749
Inefficient,Negative,utilitarian,The overall assessment is inefficient.,13.589583,-1.2906466,-7.724499642082755
Saving,Positive,utilitarian,The overall assessment is saving.,-8.123421,14.093973,-8.733541711484634
Wasteful,Negative,utilitarian,The overall assessment is wasteful.,14.604001,4.8866873,-10.773403797354833
Convenient,Positive,utilitarian,The overall assessment is convenient.,-10.821584,0.48590016,-5.960386710801844
Inconvenient,Negative,utilitarian,The overall assessment is inconvenient.,9.654801,0.21299005,-9.901975411882287
Profitable,Positive,utilitarian,The overall assessment is profitable.,-8.375958,8.035264,-4.643473343894928
Unprofitable,Negative,utilitarian,The overall assessment is unprofitable.,5.972558,8.146489,-8.595855914610098
Successful,Positive,utilitarian,The overall assessment is successful.,-15.348585,-4.583249,-3.2539462004962023
Unsuccessful,Negative,utilitarian,The overall assessment is unsuccessful.,4.6800985,-2.279659,-8.00289169442788
Durable,Positive,utilitarian,The overall assessment is durable.,-9.228737,12.747354,-8.01877049765827
Short-lived,Negative,utilitarian,The overall assessment is short-lived.,0.73183846,9.105531,-9.012369711643608
Safe,Positive,utilitarian,The overall assessment is safe.,-11.123579,-0.5048251,-5.548098592290775
Dangerous,Negative,utilitarian,The overall assessment is dangerous.,10.39244,3.4412892,-11.196595737836901
Stable,Positive,utilitarian,The overall assessment is stable.,-10.278816,3.4063914,-5.749376184854498
Unstable,Negative,utilitarian,The overall assessment is unstable.,7.255701,1.473345,-8.773211428483098
Practical,Positive,utilitarian,The overall assessment is practical.,-9.234655,-2.888805,-5.970535349912267
Impractical,Negative,utilitarian,The overall assessment is impractical.,12.200864,0.14041162,-9.812915738394867
Thrifty,Positive,utilitarian,The overall assessment is thrifty.,-4.246359,18.944742,-10.426795752756306
Wasteful,Negative,utilitarian,The overall assessment is wasteful.,14.535144,4.897746,-10.735943652444242
Optimized,Positive,utilitarian,The overall assessment is optimized.,-11.278392,0.5977771,-5.982735893012068
Inferior,Negative,utilitarian,The overall assessment is inferior.,6.872692,2.6494458,-9.574711590682517
Growing,Positive,utilitarian,The overall assessment is growing.,-5.297392,8.734365,-7.107786730094625
Declining,Negative,utilitarian,The overall assessment is declining.,9.037292,5.01725,-9.997753823642382
Prosperous,Positive,utilitarian,The overall assessment is prosperous.,-12.349207,6.8003798,-4.56926827073244
Depressed,Negative,utilitarian,The overall assessment is depressed.,7.7110558,11.187713,-8.701875018918393
Healthy,Positive,utilitarian,The overall assessment is healthy.,-13.093797,0.6675012,-3.1971668244411093
Unhealthy,Negative,utilitarian,The overall assessment is unhealthy.,6.534643,6.081213,-8.316897763935483
Improving,Positive,utilitarian,The overall assessment is improving.,-9.633701,-3.1867115,-4.217819375951944
Deteriorating,Negative,utilitarian,The overall assessment is deteriorating.,8.993825,3.9640787,-9.069854362347957
Moral,Positive,deontic,The overall assessment is moral.,-5.954733,9.274759,-7.351420798012257
Immoral,Negative,deontic,The overall assessment is immoral.,17.548182,5.329419,-14.378378452746473
Fair,Positive,deontic,The overall assessment is fair.,-9.160847,-13.031702,-4.812092067025981
Unfair,Negative,deontic,The overall assessment is unfair.,19.696045,-8.363912,-8.447914801536358
Good,Positive,deontic,The overall assessment is good.,-15.1532755,-10.672132,-2.1688633633474295
Evil,Negative,deontic,The overall assessment is evil.,18.11637,3.6233213,-17.944304410862433
Legal,Positive,deontic,The overall assessment is legal.,-0.30366182,2.1476328,-7.19424604473994
Illegal,Negative,deontic,The overall assessment is illegal.,18.59799,0.58275557,-11.260613590487731
Reasonable,Positive,deontic,The overall assessment is reasonable.,-11.956687,-14.487692,-4.210934347850854
Unreasonable,Negative,deontic,The overall assessment is unreasonable.,15.544362,-10.767394,-8.696712772222444
Honest,Positive,deontic,The overall assessment is honest.,-8.743742,-9.839821,-5.169958802399307
Deceptive,Negative,deontic,The overall assessment is deceptive.,13.182496,-3.0368996,-10.042731736048871
Righteous,Positive,deontic,The overall assessment is righteous.,-7.894368,-0.11459017,-6.191243883193659
Wicked,Negative,deontic,The overall assessment is wicked.,-0.96654916,6.4705153,-8.609583525199145
Responsible,Positive,deontic,The overall assessment is responsible.,-8.570495,3.8099601,-6.173213832956888
Irresponsible,Negative,deontic,The overall assessment is irresponsible.,13.05679,-1.4975879,-10.030932922849845
Loyal,Positive,deontic,The overall assessment is loyal.,-9.220763,7.416752,-7.424939132780306
Treacherous,Negative,deontic,The overall assessment is treacherous.,5.5460854,10.514159,-10.464569989567835
Respectful,Positive,deontic,The overall assessment is respectful.,-11.953113,-9.402337,-4.113608567343757
Insulting,Negative,deontic,The overall assessment is insulting.,16.851479,-5.1183996,-11.208766035064134
Kind,Positive,deontic,The overall assessment is kind.,-13.328615,-5.4597783,-3.162241398224511
Cruel,Negative,deontic,The overall assessment is cruel.,13.372981,-2.1335576,-10.660225298114522
Trustworthy,Positive,deontic,The overall assessment is trustworthy.,-8.197403,-11.700102,-5.127270297652915
Untrustworthy,Negative,deontic,The overall assessment is untrustworthy.,15.96783,-9.846531,-8.739437855374508
Upright,Positive,deontic,The overall assessment is upright.,-10.256895,3.96582,-6.236647421325744
Dishonorable,Negative,deontic,The overall assessment is dishonorable.,6.3443527,8.218858,-11.049825834610377
Honorable,Positive,deontic,The overall assessment is honorable.,-13.029603,4.3338556,-5.195895652134868
Shameful,Negative,deontic,The overall assessment is shameful.,12.977023,4.094466,-10.786037913700095
Disciplined,Positive,deontic,The overall assessment is disciplined.,-6.7036,8.037343,-7.67069226240029
Indulgent,Negative,deontic,The overall assessment is indulgent.,6.4186926,6.3993235,-10.855593613815962
Sincere,Positive,deontic,The overall assessment is sincere.,-10.561492,-8.290138,-5.8560968322084666
Insincere,Negative,deontic,The overall assessment is insincere.,15.822795,-7.420418,-9.84143826738515
Well-intentioned,Positive,deontic,The overall assessment is well-intentioned.,-6.9486856,-8.985451,-4.678886480836368
Malicious,Negative,deontic,The overall assessment is malicious.,15.363606,1.9997995,-14.579725267437382
Tolerant,Positive,deontic,The overall assessment is tolerant.,-5.625187,7.798093,-7.3627623081395726
Harsh,Negative,deontic,The overall assessment is harsh.,8.189705,-2.734319,-8.743936628647461
Public-minded,Positive,deontic,The overall assessment is public-minded.,-3.7597666,8.658218,-6.930092026903115
Self-serving,Negative,deontic,The overall assessment is self-serving.,14.649917,3.4163568,-11.374060558445695
Impartial,Positive,deontic,The overall assessment is impartial.,-4.333212,-7.669114,-5.71122689558457
Biased,Negative,deontic,The overall assessment is biased.,20.46992,-11.611851,-10.814535301785636
Positive,Positive,affective,The overall assessment is positive.,-12.947525,-7.571846,-1.9722202902606307
Negative,Negative,affective,The overall assessment is negative.,5.662883,-0.42811632,-8.10054366847465
Like,Positive,affective,The overall assessment is like.,1.7410653,-0.8790306,-6.5572343306363035
Dislike,Negative,affective,The overall assessment is dislike.,5.281687,1.7161248,-10.63420304799622
Optimistic,Positive,affective,The overall assessment is optimistic.,-10.049795,-1.4525545,-2.709057344927648
Pessimistic,Negative,affective,The overall assessment is pessimistic.,9.342919,0.47862673,-9.651310660065532
Support,Positive,affective,The overall assessment is support.,-9.169439,6.358941,-6.492882296591851
Oppose,Negative,affective,The overall assessment is oppose.,0.6477845,11.335875,-12.646915951971142
Favorable,Positive,affective,The overall assessment is favorable.,-12.665492,-4.002974,-2.42450473022539
Unfavorable,Negative,affective,The overall assessment is unfavorable.,4.4572754,0.76992345,-7.8026797224435
Excited,Positive,affective,The overall assessment is excited.,-11.643299,4.610155,-6.578617979258661
Bored,Negative,affective,The overall assessment is bored.,3.3530219,4.0644293,-10.33621398594375
Satisfied,Positive,affective,The overall assessment is satisfied.,-14.309136,-5.1576805,-3.9255054852896376
Disappointed,Negative,affective,The overall assessment is disappointed.,7.0758667,0.3967476,-8.53224265185576
Enthusiastic,Positive,affective,The overall assessment is enthusiastic.,-13.13158,1.808068,-3.8940662776359285
Apathetic,Negative,affective,The overall assessment is apathetic.,5.566778,8.793391,-10.001783564086047
Happy,Positive,affective,The overall assessment is happy.,-15.596379,1.1966248,-3.7267715597336997
Sad,Negative,affective,The overall assessment is sad.,7.079732,-0.21185422,-9.522030708885628
Content,Positive,affective,The overall assessment is content.,-7.6402884,5.1184235,-8.601718297287071
Discontent,Negative,affective,The overall assessment is discontent.,5.363982,4.5842257,-9.247863671297146
Love,Positive,affective,The overall assessment is love.,-9.706937,8.143982,-5.091121866885677
Hate,Negative,affective,The overall assessment is hate.,11.735783,9.019723,-14.068308527629497
Grateful,Positive,affective,The overall assessment is grateful.,-12.564626,-2.5435135,-6.813959612416333
Resentful,Negative,affective,The overall assessment is resentful.,4.053671,14.02968,-12.060347946429847
Trusting,Positive,affective,The overall assessment is trusting.,-9.311095,6.477744,-7.253746666127317
Suspicious,Negative,affective,The overall assessment is suspicious.,11.461838,-1.7477225,-9.851293162026108
Confident,Positive,affective,The overall assessment is confident.,-14.271026,-1.8280456,-4.360564841040038
Insecure,Negative,affective,The overall assessment is insecure.,9.927453,2.1986024,-9.058484946033223
Assured,Positive,affective,The overall assessment is assured.,-12.011347,-1.8308394,-7.076624468709292
Uneasy,Negative,affective,The overall assessment is uneasy.,1.3188617,6.449809,-7.987543189845119
Moved,Positive,affective,The overall assessment is moved.,-2.7741475,2.7915175,-7.752407170684474
Indifferent,Negative,affective,The overall assessment is indifferent.,-1.3970819,3.620312,-10.066821126558086
Relaxed,Positive,affective,The overall assessment is relaxed.,-9.305905,8.294612,-8.495199429433615
Tense,Negative,affective,The overall assessment is tense.,-0.31407237,7.0119267,-8.070383035220614
Expectant,Positive,affective,The overall assessment is expectant.,-7.659952,12.200449,-7.30398207029377
Weary,Negative,affective,The overall assessment is weary.,-0.78286195,10.465443,-9.359427317323401
Joyful,Positive,affective,The overall assessment is joyful.,-15.351022,4.106348,-4.05430717759956
Angry,Negative,affective,The overall assessment is angry.,7.1945333,10.5929,-12.801395056649188
Hopeful,Positive,affective,The overall assessment is hopeful.,-11.666068,-0.9170482,-3.147608664070047
Despairing,Negative,affective,The overall assessment is despairing.,8.491233,5.7113857,-10.148235764071458
