"model_name","pair_id","pair_class","word_A_original","word_B_original","analysis_word_A","analysis_word_B","semantic_orientation_sign"
"qwen25_3b","neutral_opposite::neutral::005","neutral_opposite","dorsal","ventral","dorsal","ventral",1
"qwen25_3b","neutral_opposite::neutral::006","neutral_opposite","anterior","posterior","anterior","posterior",1
"qwen25_3b","neutral_opposite::neutral::007","neutral_opposite","medial","lateral","lateral","medial",-1
"qwen25_3b","neutral_opposite::neutral::008","neutral_opposite","numerator","denominator","denominator","numerator",-1
"qwen25_3b","neutral_opposite::neutral::009","neutral_opposite","prefix","suffix","prefix","suffix",1
"qwen25_3b","neutral_opposite::neutral::010","neutral_opposite","singular","plural","plural","singular",-1
"qwen25_3b","neutral_opposite::neutral::011","neutral_opposite","odd","even","even","odd",-1
"qwen25_3b","neutral_opposite::neutral::012","neutral_opposite","input","output","input","output",1
"qwen25_3b","neutral_opposite::neutral::013","neutral_opposite","inbound","outbound","inbound","outbound",1
"qwen25_3b","neutral_opposite::neutral::014","neutral_opposite","inhale","exhale","exhale","inhale",-1
"qwen25_3b","neutral_opposite::neutral::015","neutral_opposite","ascending","descending","ascending","descending",1
"qwen25_3b","neutral_opposite::neutral::016","neutral_opposite","upstream","downstream","downstream","upstream",-1
"qwen25_3b","neutral_opposite::neutral::017","neutral_opposite","north","south","north","south",1
"qwen25_3b","neutral_opposite::neutral::018","neutral_opposite","east","west","east","west",1
"qwen25_3b","neutral_opposite::neutral::019","neutral_opposite","solid","liquid","liquid","solid",-1
"qwen25_3b","neutral_opposite::neutral::020","neutral_opposite","internal","external","external","internal",-1
"qwen25_3b","neutral_opposite::neutral::021","neutral_opposite","central","peripheral","central","peripheral",1
"qwen25_3b","neutral_opposite::neutral::022","neutral_opposite","binary","decimal","binary","decimal",1
"qwen25_3b","neutral_opposite::neutral::023","neutral_opposite","linear","circular","circular","linear",-1
"qwen25_7b","neutral_nonopposite::neutral::000","neutral_nonopposite","apple","banana","apple","banana",1
"qwen25_7b","neutral_nonopposite::neutral::001","neutral_nonopposite","pear","plum","pear","plum",1
"qwen25_7b","neutral_nonopposite::neutral::002","neutral_nonopposite","grape","melon","grape","melon",1
"qwen25_7b","neutral_nonopposite::neutral::003","neutral_nonopposite","cat","dog","cat","dog",1
"qwen25_7b","neutral_nonopposite::neutral::004","neutral_nonopposite","horse","goat","goat","horse",-1
"qwen25_7b","neutral_nonopposite::neutral::005","neutral_nonopposite","sheep","deer","deer","sheep",-1
"qwen25_7b","neutral_nonopposite::neutral::006","neutral_nonopposite","robin","sparrow","robin","sparrow",1
"qwen25_7b","neutral_nonopposite::neutral::007","neutral_nonopposite","table","chair","chair","table",-1
"qwen25_7b","neutral_nonopposite::neutral::008","neutral_nonopposite","fork","spoon","fork","spoon",1
"qwen25_7b","neutral_nonopposite::neutral::009","neutral_nonopposite","cup","bowl","bowl","cup",-1
"qwen25_7b","neutral_nonopposite::neutral::010","neutral_nonopposite","clock","lamp","clock","lamp",1
"qwen25_7b","neutral_nonopposite::neutral::011","neutral_nonopposite","door","window","door","window",1
"qwen25_7b","neutral_nonopposite::neutral::012","neutral_nonopposite","river","lake","lake","river",-1
"qwen25_7b","neutral_nonopposite::neutral::013","neutral_nonopposite","ocean","mountain","mountain","ocean",-1
"qwen25_7b","neutral_nonopposite::neutral::014","neutral_nonopposite","island","valley","island","valley",1
"qwen25_7b","neutral_nonopposite::neutral::015","neutral_nonopposite","algebra","geometry","algebra","geometry",1
"qwen25_7b","neutral_nonopposite::neutral::016","neutral_nonopposite","physics","chemistry","chemistry","physics",-1
"qwen25_7b","neutral_nonopposite::neutral::017","neutral_nonopposite","history","geography","geography","history",-1
"qwen25_7b","neutral_nonopposite::neutral::018","neutral_nonopposite","soccer","basketball","basketball","soccer",-1
"qwen25_7b","neutral_nonopposite::neutral::019","neutral_nonopposite","tennis","baseball","baseball","tennis",-1
"qwen25_7b","neutral_nonopposite::neutral::020","neutral_nonopposite","train","airplane","airplane","train",-1
"qwen25_7b","neutral_nonopposite::neutral::021","neutral_nonopposite","bus","tram","bus","tram",1
"qwen25_7b","neutral_nonopposite::neutral::022","neutral_nonopposite","tea","coffee","coffee","tea",-1
"qwen25_7b","neutral_nonopposite::neutral::023","neutral_nonopposite","red","blue","blue","red",-1
"qwen25_7b","neutral_nonopposite::neutral::024","neutral_nonopposite","green","yellow","green","yellow",1
"qwen25_7b","neutral_opposite::neutral::000","neutral_opposite","convex","concave","concave","convex",-1
"qwen25_7b","neutral_opposite::neutral::001","neutral_opposite","interior","exterior","exterior","interior",-1
"qwen25_7b","neutral_opposite::neutral::002","neutral_opposite","clockwise","counterclockwise","clockwise","counterclockwise",1
"qwen25_7b","neutral_opposite::neutral::003","neutral_opposite","proximal","distal","distal","proximal",-1
"qwen25_7b","neutral_opposite::neutral::004","neutral_opposite","horizontal","vertical","horizontal","vertical",1
"qwen25_7b","neutral_opposite::neutral::005","neutral_opposite","dorsal","ventral","dorsal","ventral",1
"qwen25_7b","neutral_opposite::neutral::006","neutral_opposite","anterior","posterior","anterior","posterior",1
"qwen25_7b","neutral_opposite::neutral::007","neutral_opposite","medial","lateral","lateral","medial",-1
"qwen25_7b","neutral_opposite::neutral::008","neutral_opposite","numerator","denominator","denominator","numerator",-1
"qwen25_7b","neutral_opposite::neutral::009","neutral_opposite","prefix","suffix","prefix","suffix",1
"qwen25_7b","neutral_opposite::neutral::010","neutral_opposite","singular","plural","plural","singular",-1
"qwen25_7b","neutral_opposite::neutral::011","neutral_opposite","odd","even","even","odd",-1
"qwen25_7b","neutral_opposite::neutral::012","neutral_opposite","input","output","input","output",1
"qwen25_7b","neutral_opposite::neutral::013","neutral_opposite","inbound","outbound","inbound","outbound",1
"qwen25_7b","neutral_opposite::neutral::014","neutral_opposite","inhale","exhale","exhale","inhale",-1
"qwen25_7b","neutral_opposite::neutral::015","neutral_opposite","ascending","descending","ascending","descending",1
"qwen25_7b","neutral_opposite::neutral::016","neutral_opposite","upstream","downstream","downstream","upstream",-1
"qwen25_7b","neutral_opposite::neutral::017","neutral_opposite","north","south","north","south",1
"qwen25_7b","neutral_opposite::neutral::018","neutral_opposite","east","west","east","west",1
"qwen25_7b","neutral_opposite::neutral::019","neutral_opposite","solid","liquid","liquid","solid",-1
"qwen25_7b","neutral_opposite::neutral::020","neutral_opposite","internal","external","external","internal",-1
"qwen25_7b","neutral_opposite::neutral::021","neutral_opposite","central","peripheral","central","peripheral",1
"qwen25_7b","neutral_opposite::neutral::022","neutral_opposite","binary","decimal","binary","decimal",1
"qwen25_7b","neutral_opposite::neutral::023","neutral_opposite","linear","circular","circular","linear",-1
"qwen25_14b","neutral_nonopposite::neutral::000","neutral_nonopposite","apple","banana","apple","banana",1
"qwen25_14b","neutral_nonopposite::neutral::001","neutral_nonopposite","pear","plum","pear","plum",1
"qwen25_14b","neutral_nonopposite::neutral::002","neutral_nonopposite","grape","melon","grape","melon",1
"qwen25_14b","neutral_nonopposite::neutral::003","neutral_nonopposite","cat","dog","cat","dog",1
"qwen25_14b","neutral_nonopposite::neutral::004","neutral_nonopposite","horse","goat","goat","horse",-1
"qwen25_14b","neutral_nonopposite::neutral::005","neutral_nonopposite","sheep","deer","deer","sheep",-1
"qwen25_14b","neutral_nonopposite::neutral::006","neutral_nonopposite","robin","sparrow","robin","sparrow",1
"qwen25_14b","neutral_nonopposite::neutral::007","neutral_nonopposite","table","chair","chair","table",-1
"qwen25_14b","neutral_nonopposite::neutral::008","neutral_nonopposite","fork","spoon","fork","spoon",1
"qwen25_14b","neutral_nonopposite::neutral::009","neutral_nonopposite","cup","bowl","bowl","cup",-1
"qwen25_14b","neutral_nonopposite::neutral::010","neutral_nonopposite","clock","lamp","clock","lamp",1
"qwen25_14b","neutral_nonopposite::neutral::011","neutral_nonopposite","door","window","door","window",1
"qwen25_14b","neutral_nonopposite::neutral::012","neutral_nonopposite","river","lake","lake","river",-1
"qwen25_14b","neutral_nonopposite::neutral::013","neutral_nonopposite","ocean","mountain","mountain","ocean",-1
"qwen25_14b","neutral_nonopposite::neutral::014","neutral_nonopposite","island","valley","island","valley",1
"qwen25_14b","neutral_nonopposite::neutral::015","neutral_nonopposite","algebra","geometry","algebra","geometry",1
"qwen25_14b","neutral_nonopposite::neutral::016","neutral_nonopposite","physics","chemistry","chemistry","physics",-1
"qwen25_14b","neutral_nonopposite::neutral::017","neutral_nonopposite","history","geography","geography","history",-1
"qwen25_14b","neutral_nonopposite::neutral::018","neutral_nonopposite","soccer","basketball","basketball","soccer",-1
"qwen25_14b","neutral_nonopposite::neutral::019","neutral_nonopposite","tennis","baseball","baseball","tennis",-1
"qwen25_14b","neutral_nonopposite::neutral::020","neutral_nonopposite","train","airplane","airplane","train",-1
"qwen25_14b","neutral_nonopposite::neutral::021","neutral_nonopposite","bus","tram","bus","tram",1
"qwen25_14b","neutral_nonopposite::neutral::022","neutral_nonopposite","tea","coffee","coffee","tea",-1
"qwen25_14b","neutral_nonopposite::neutral::023","neutral_nonopposite","red","blue","blue","red",-1
"qwen25_14b","neutral_nonopposite::neutral::024","neutral_nonopposite","green","yellow","green","yellow",1
"qwen25_14b","neutral_opposite::neutral::000","neutral_opposite","convex","concave","concave","convex",-1
"qwen25_14b","neutral_opposite::neutral::001","neutral_opposite","interior","exterior","exterior","interior",-1
"qwen25_14b","neutral_opposite::neutral::002","neutral_opposite","clockwise","counterclockwise","clockwise","counterclockwise",1
"qwen25_14b","neutral_opposite::neutral::003","neutral_opposite","proximal","distal","distal","proximal",-1
"qwen25_14b","neutral_opposite::neutral::004","neutral_opposite","horizontal","vertical","horizontal","vertical",1
"qwen25_14b","neutral_opposite::neutral::005","neutral_opposite","dorsal","ventral","dorsal","ventral",1
"qwen25_14b","neutral_opposite::neutral::006","neutral_opposite","anterior","posterior","anterior","posterior",1
"qwen25_14b","neutral_opposite::neutral::007","neutral_opposite","medial","lateral","lateral","medial",-1
"qwen25_14b","neutral_opposite::neutral::008","neutral_opposite","numerator","denominator","denominator","numerator",-1
"qwen25_14b","neutral_opposite::neutral::009","neutral_opposite","prefix","suffix","prefix","suffix",1
"qwen25_14b","neutral_opposite::neutral::010","neutral_opposite","singular","plural","plural","singular",-1
"qwen25_14b","neutral_opposite::neutral::011","neutral_opposite","odd","even","even","odd",-1
"qwen25_14b","neutral_opposite::neutral::012","neutral_opposite","input","output","input","output",1
"qwen25_14b","neutral_opposite::neutral::013","neutral_opposite","inbound","outbound","inbound","outbound",1
"qwen25_14b","neutral_opposite::neutral::014","neutral_opposite","inhale","exhale","exhale","inhale",-1
"qwen25_14b","neutral_opposite::neutral::015","neutral_opposite","ascending","descending","ascending","descending",1
"qwen25_14b","neutral_opposite::neutral::016","neutral_opposite","upstream","downstream","downstream","upstream",-1
"qwen25_14b","neutral_opposite::neutral::017","neutral_opposite","north","south","north","south",1
"qwen25_14b","neutral_opposite::neutral::018","neutral_opposite","east","west","east","west",1
"qwen25_14b","neutral_opposite::neutral::019","neutral_opposite","solid","liquid","liquid","solid",-1
"qwen25_14b","neutral_opposite::neutral::020","neutral_opposite","internal","external","external","internal",-1
"qwen25_14b","neutral_opposite::neutral::021","neutral_opposite","central","peripheral","central","peripheral",1
"qwen25_14b","neutral_opposite::neutral::022","neutral_opposite","binary","decimal","binary","decimal",1
"qwen25_14b","neutral_opposite::neutral::023","neutral_opposite","linear","circular","circular","linear",-1
"qwen25_32b","neutral_nonopposite::neutral::000","neutral_nonopposite","apple","banana","apple","banana",1
"qwen25_32b","neutral_nonopposite::neutral::001","neutral_nonopposite","pear","plum","pear","plum",1
"qwen25_32b","neutral_nonopposite::neutral::002","neutral_nonopposite","grape","melon","grape","melon",1
"qwen25_32b","neutral_nonopposite::neutral::003","neutral_nonopposite","cat","dog","cat","dog",1
"qwen25_32b","neutral_nonopposite::neutral::004","neutral_nonopposite","horse","goat","goat","horse",-1
"qwen25_32b","neutral_nonopposite::neutral::005","neutral_nonopposite","sheep","deer","deer","sheep",-1
"qwen25_32b","neutral_nonopposite::neutral::006","neutral_nonopposite","robin","sparrow","robin","sparrow",1
"qwen25_32b","neutral_nonopposite::neutral::007","neutral_nonopposite","table","chair","chair","table",-1
"qwen25_32b","neutral_nonopposite::neutral::008","neutral_nonopposite","fork","spoon","fork","spoon",1
"qwen25_32b","neutral_nonopposite::neutral::009","neutral_nonopposite","cup","bowl","bowl","cup",-1
"qwen25_32b","neutral_nonopposite::neutral::010","neutral_nonopposite","clock","lamp","clock","lamp",1
"qwen25_32b","neutral_nonopposite::neutral::011","neutral_nonopposite","door","window","door","window",1
"qwen25_32b","neutral_nonopposite::neutral::012","neutral_nonopposite","river","lake","lake","river",-1
"qwen25_32b","neutral_nonopposite::neutral::013","neutral_nonopposite","ocean","mountain","mountain","ocean",-1
"qwen25_32b","neutral_nonopposite::neutral::014","neutral_nonopposite","island","valley","island","valley",1
"qwen25_32b","neutral_nonopposite::neutral::015","neutral_nonopposite","algebra","geometry","algebra","geometry",1
"qwen25_32b","neutral_nonopposite::neutral::016","neutral_nonopposite","physics","chemistry","chemistry","physics",-1
"qwen25_32b","neutral_nonopposite::neutral::017","neutral_nonopposite","history","geography","geography","history",-1
"qwen25_32b","neutral_nonopposite::neutral::018","neutral_nonopposite","soccer","basketball","basketball","soccer",-1
"qwen25_32b","neutral_nonopposite::neutral::019","neutral_nonopposite","tennis","baseball","baseball","tennis",-1
"qwen25_32b","neutral_nonopposite::neutral::020","neutral_nonopposite","train","airplane","airplane","train",-1
"qwen25_32b","neutral_nonopposite::neutral::021","neutral_nonopposite","bus","tram","bus","tram",1
"qwen25_32b","neutral_nonopposite::neutral::022","neutral_nonopposite","tea","coffee","coffee","tea",-1
"qwen25_32b","neutral_nonopposite::neutral::023","neutral_nonopposite","red","blue","blue","red",-1
"qwen25_32b","neutral_nonopposite::neutral::024","neutral_nonopposite","green","yellow","green","yellow",1
"qwen25_32b","neutral_opposite::neutral::000","neutral_opposite","convex","concave","concave","convex",-1
"qwen25_32b","neutral_opposite::neutral::001","neutral_opposite","interior","exterior","exterior","interior",-1
"qwen25_32b","neutral_opposite::neutral::002","neutral_opposite","clockwise","counterclockwise","clockwise","counterclockwise",1
"qwen25_32b","neutral_opposite::neutral::003","neutral_opposite","proximal","distal","distal","proximal",-1
"qwen25_32b","neutral_opposite::neutral::004","neutral_opposite","horizontal","vertical","horizontal","vertical",1
"qwen25_32b","neutral_opposite::neutral::005","neutral_opposite","dorsal","ventral","dorsal","ventral",1
"qwen25_32b","neutral_opposite::neutral::006","neutral_opposite","anterior","posterior","anterior","posterior",1
"qwen25_32b","neutral_opposite::neutral::007","neutral_opposite","medial","lateral","lateral","medial",-1
"qwen25_32b","neutral_opposite::neutral::008","neutral_opposite","numerator","denominator","denominator","numerator",-1
"qwen25_32b","neutral_opposite::neutral::009","neutral_opposite","prefix","suffix","prefix","suffix",1
"qwen25_32b","neutral_opposite::neutral::010","neutral_opposite","singular","plural","plural","singular",-1
"qwen25_32b","neutral_opposite::neutral::011","neutral_opposite","odd","even","even","odd",-1
"qwen25_32b","neutral_opposite::neutral::012","neutral_opposite","input","output","input","output",1
"qwen25_32b","neutral_opposite::neutral::013","neutral_opposite","inbound","outbound","inbound","outbound",1
"qwen25_32b","neutral_opposite::neutral::014","neutral_opposite","inhale","exhale","exhale","inhale",-1
"qwen25_32b","neutral_opposite::neutral::015","neutral_opposite","ascending","descending","ascending","descending",1
"qwen25_32b","neutral_opposite::neutral::016","neutral_opposite","upstream","downstream","downstream","upstream",-1
"qwen25_32b","neutral_opposite::neutral::017","neutral_opposite","north","south","north","south",1
"qwen25_32b","neutral_opposite::neutral::018","neutral_opposite","east","west","east","west",1
"qwen25_32b","neutral_opposite::neutral::019","neutral_opposite","solid","liquid","liquid","solid",-1
"qwen25_32b","neutral_opposite::neutral::020","neutral_opposite","internal","external","external","internal",-1
"qwen25_32b","neutral_opposite::neutral::021","neutral_opposite","central","peripheral","central","peripheral",1
"qwen25_32b","neutral_opposite::neutral::022","neutral_opposite","binary","decimal","binary","decimal",1
"qwen25_32b","neutral_opposite::neutral::023","neutral_opposite","linear","circular","circular","linear",-1
"qwen25_72b","neutral_nonopposite::neutral::000","neutral_nonopposite","apple","banana","apple","banana",1
"qwen25_72b","neutral_nonopposite::neutral::001","neutral_nonopposite","pear","plum","pear","plum",1
"qwen25_72b","neutral_nonopposite::neutral::002","neutral_nonopposite","grape","melon","grape","melon",1
"qwen25_72b","neutral_nonopposite::neutral::003","neutral_nonopposite","cat","dog","cat","dog",1
"qwen25_72b","neutral_nonopposite::neutral::004","neutral_nonopposite","horse","goat","goat","horse",-1
"qwen25_72b","neutral_nonopposite::neutral::005","neutral_nonopposite","sheep","deer","deer","sheep",-1
"qwen25_72b","neutral_nonopposite::neutral::006","neutral_nonopposite","robin","sparrow","robin","sparrow",1
"qwen25_72b","neutral_nonopposite::neutral::007","neutral_nonopposite","table","chair","chair","table",-1
"qwen25_72b","neutral_nonopposite::neutral::008","neutral_nonopposite","fork","spoon","fork","spoon",1
"qwen25_72b","neutral_nonopposite::neutral::009","neutral_nonopposite","cup","bowl","bowl","cup",-1
"qwen25_72b","neutral_nonopposite::neutral::010","neutral_nonopposite","clock","lamp","clock","lamp",1
"qwen25_72b","neutral_nonopposite::neutral::011","neutral_nonopposite","door","window","door","window",1
"qwen25_72b","neutral_nonopposite::neutral::012","neutral_nonopposite","river","lake","lake","river",-1
"qwen25_72b","neutral_nonopposite::neutral::013","neutral_nonopposite","ocean","mountain","mountain","ocean",-1
"qwen25_72b","neutral_nonopposite::neutral::014","neutral_nonopposite","island","valley","island","valley",1
"qwen25_72b","neutral_nonopposite::neutral::015","neutral_nonopposite","algebra","geometry","algebra","geometry",1
"qwen25_72b","neutral_nonopposite::neutral::016","neutral_nonopposite","physics","chemistry","chemistry","physics",-1
"qwen25_72b","neutral_nonopposite::neutral::017","neutral_nonopposite","history","geography","geography","history",-1
"qwen25_72b","neutral_nonopposite::neutral::018","neutral_nonopposite","soccer","basketball","basketball","soccer",-1
"qwen25_72b","neutral_nonopposite::neutral::019","neutral_nonopposite","tennis","baseball","baseball","tennis",-1
"qwen25_72b","neutral_nonopposite::neutral::020","neutral_nonopposite","train","airplane","airplane","train",-1
"qwen25_72b","neutral_nonopposite::neutral::021","neutral_nonopposite","bus","tram","bus","tram",1
"qwen25_72b","neutral_nonopposite::neutral::022","neutral_nonopposite","tea","coffee","coffee","tea",-1
"qwen25_72b","neutral_nonopposite::neutral::023","neutral_nonopposite","red","blue","blue","red",-1
"qwen25_72b","neutral_nonopposite::neutral::024","neutral_nonopposite","green","yellow","green","yellow",1
"qwen25_72b","neutral_opposite::neutral::000","neutral_opposite","convex","concave","concave","convex",-1
"qwen25_72b","neutral_opposite::neutral::001","neutral_opposite","interior","exterior","exterior","interior",-1
"qwen25_72b","neutral_opposite::neutral::002","neutral_opposite","clockwise","counterclockwise","clockwise","counterclockwise",1
"qwen25_72b","neutral_opposite::neutral::003","neutral_opposite","proximal","distal","distal","proximal",-1
"qwen25_72b","neutral_opposite::neutral::004","neutral_opposite","horizontal","vertical","horizontal","vertical",1
"qwen25_72b","neutral_opposite::neutral::005","neutral_opposite","dorsal","ventral","dorsal","ventral",1
"qwen25_72b","neutral_opposite::neutral::006","neutral_opposite","anterior","posterior","anterior","posterior",1
"qwen25_72b","neutral_opposite::neutral::007","neutral_opposite","medial","lateral","lateral","medial",-1
"qwen25_72b","neutral_opposite::neutral::008","neutral_opposite","numerator","denominator","denominator","numerator",-1
"qwen25_72b","neutral_opposite::neutral::009","neutral_opposite","prefix","suffix","prefix","suffix",1
"qwen25_72b","neutral_opposite::neutral::010","neutral_opposite","singular","plural","plural","singular",-1
"qwen25_72b","neutral_opposite::neutral::011","neutral_opposite","odd","even","even","odd",-1
"qwen25_72b","neutral_opposite::neutral::012","neutral_opposite","input","output","input","output",1
"qwen25_72b","neutral_opposite::neutral::013","neutral_opposite","inbound","outbound","inbound","outbound",1
"qwen25_72b","neutral_opposite::neutral::014","neutral_opposite","inhale","exhale","exhale","inhale",-1
"qwen25_72b","neutral_opposite::neutral::015","neutral_opposite","ascending","descending","ascending","descending",1
"qwen25_72b","neutral_opposite::neutral::016","neutral_opposite","upstream","downstream","downstream","upstream",-1
"qwen25_72b","neutral_opposite::neutral::017","neutral_opposite","north","south","north","south",1
"qwen25_72b","neutral_opposite::neutral::018","neutral_opposite","east","west","east","west",1
"qwen25_72b","neutral_opposite::neutral::019","neutral_opposite","solid","liquid","liquid","solid",-1
"qwen25_72b","neutral_opposite::neutral::020","neutral_opposite","internal","external","external","internal",-1
"qwen25_72b","neutral_opposite::neutral::021","neutral_opposite","central","peripheral","central","peripheral",1
"qwen25_72b","neutral_opposite::neutral::022","neutral_opposite","binary","decimal","binary","decimal",1
"qwen25_72b","neutral_opposite::neutral::023","neutral_opposite","linear","circular","circular","linear",-1
"llama3_8b","neutral_nonopposite::neutral::000","neutral_nonopposite","apple","banana","apple","banana",1
"llama3_8b","neutral_nonopposite::neutral::001","neutral_nonopposite","pear","plum","pear","plum",1
"llama3_8b","neutral_nonopposite::neutral::002","neutral_nonopposite","grape","melon","grape","melon",1
"llama3_8b","neutral_nonopposite::neutral::003","neutral_nonopposite","cat","dog","cat","dog",1
"llama3_8b","neutral_nonopposite::neutral::004","neutral_nonopposite","horse","goat","goat","horse",-1
"llama3_8b","neutral_nonopposite::neutral::005","neutral_nonopposite","sheep","deer","deer","sheep",-1
"llama3_8b","neutral_nonopposite::neutral::006","neutral_nonopposite","robin","sparrow","robin","sparrow",1
"llama3_8b","neutral_nonopposite::neutral::007","neutral_nonopposite","table","chair","chair","table",-1
"llama3_8b","neutral_nonopposite::neutral::008","neutral_nonopposite","fork","spoon","fork","spoon",1
"llama3_8b","neutral_nonopposite::neutral::009","neutral_nonopposite","cup","bowl","bowl","cup",-1
"llama3_8b","neutral_nonopposite::neutral::010","neutral_nonopposite","clock","lamp","clock","lamp",1
"llama3_8b","neutral_nonopposite::neutral::011","neutral_nonopposite","door","window","door","window",1
"llama3_8b","neutral_nonopposite::neutral::012","neutral_nonopposite","river","lake","lake","river",-1
"llama3_8b","neutral_nonopposite::neutral::013","neutral_nonopposite","ocean","mountain","mountain","ocean",-1
"llama3_8b","neutral_nonopposite::neutral::014","neutral_nonopposite","island","valley","island","valley",1
"llama3_8b","neutral_nonopposite::neutral::015","neutral_nonopposite","algebra","geometry","algebra","geometry",1
"llama3_8b","neutral_nonopposite::neutral::016","neutral_nonopposite","physics","chemistry","chemistry","physics",-1
"llama3_8b","neutral_nonopposite::neutral::017","neutral_nonopposite","history","geography","geography","history",-1
"llama3_8b","neutral_nonopposite::neutral::018","neutral_nonopposite","soccer","basketball","basketball","soccer",-1
"llama3_8b","neutral_nonopposite::neutral::019","neutral_nonopposite","tennis","baseball","baseball","tennis",-1
"llama3_8b","neutral_nonopposite::neutral::020","neutral_nonopposite","train","airplane","airplane","train",-1
"llama3_8b","neutral_nonopposite::neutral::021","neutral_nonopposite","bus","tram","bus","tram",1
"llama3_8b","neutral_nonopposite::neutral::022","neutral_nonopposite","tea","coffee","coffee","tea",-1
"llama3_8b","neutral_nonopposite::neutral::023","neutral_nonopposite","red","blue","blue","red",-1
"llama3_8b","neutral_nonopposite::neutral::024","neutral_nonopposite","green","yellow","green","yellow",1
"llama3_8b","neutral_opposite::neutral::000","neutral_opposite","convex","concave","concave","convex",-1
"llama3_8b","neutral_opposite::neutral::001","neutral_opposite","interior","exterior","exterior","interior",-1
"llama3_8b","neutral_opposite::neutral::002","neutral_opposite","clockwise","counterclockwise","clockwise","counterclockwise",1
"llama3_8b","neutral_opposite::neutral::003","neutral_opposite","proximal","distal","distal","proximal",-1
"llama3_8b","neutral_opposite::neutral::004","neutral_opposite","horizontal","vertical","horizontal","vertical",1
"llama3_8b","neutral_opposite::neutral::005","neutral_opposite","dorsal","ventral","dorsal","ventral",1
"llama3_8b","neutral_opposite::neutral::006","neutral_opposite","anterior","posterior","anterior","posterior",1
"llama3_8b","neutral_opposite::neutral::007","neutral_opposite","medial","lateral","lateral","medial",-1
"llama3_8b","neutral_opposite::neutral::008","neutral_opposite","numerator","denominator","denominator","numerator",-1
"llama3_8b","neutral_opposite::neutral::009","neutral_opposite","prefix","suffix","prefix","suffix",1
"llama3_8b","neutral_opposite::neutral::010","neutral_opposite","singular","plural","plural","singular",-1
"llama3_8b","neutral_opposite::neutral::011","neutral_opposite","odd","even","even","odd",-1
"llama3_8b","neutral_opposite::neutral::012","neutral_opposite","input","output","input","output",1
"llama3_8b","neutral_opposite::neutral::013","neutral_opposite","inbound","outbound","inbound","outbound",1
